intervention,verdict_class,failure_domain,abandoned_reason,evidence_tier,evidence_tier_sublabel,max_phase,registry_trials,trials_with_posted_results,statuses,key_result_pmid,key_result_verbatim,metric,duration_weeks,endpoint_dimension,termination_reasons,conflict_note,why,curated,curation_note
SAR156597,Failed,no benefit on the trial's own primary endpoint,not_applicable,Probable,randomised null result,PHASE2,2.0,1.0,COMPLETED,30337444.0,"The mean change from baseline in FVC % pred at 52 weeks was -5.8%, -5.2% and -6.3% for the placebo, Q2W and QW arms, respectively (Q2W versus placebo, p=0.59; QW versus placebo, p=0.63).",absolute change from baseline in forced vital capacity (FVC) % predicted at 52 weeks,52.0,absolute change from baseline in forced vital capacity (FVC) % predicted at 52 weeks,,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,
bosentan,Failed,no benefit on the trial's own primary endpoint,recruitment_or_operational,Probable,replicated phase 3 randomised null result,PHASE4,6.0,2.0,COMPLETED|UNKNOWN|WITHDRAWN,21474646.0,"No significant difference between treatment groups was observed in the primary endpoint analysis (hazard ratio, 0.85; 95% confidence interval, 0.66-1.10; P=0.2110).",hospital-free survival and overall survival,104.0,hospital-free survival and overall survival,competing studies did not allow enrollment,,"8 human studies attributed; strongest rct; IPF-only monotherapy randomised: 1 positive, 2 null, 0 harm.",True,Engine read a conflict from a secondary quality-of-life report (PMID 19679600) whose own conclusion was that effects were minimal. Not a positive result; verdict corrected to Failed.
co-trimoxazole,Failed,no benefit on the trial's own primary endpoint,unknown,Probable,randomised null result,PHASE3,1.0,0.0,TERMINATED,33289822.0,"hazard ratio of 1.2 ([95% CI, 0.9-1.6]; P = .32)",forced vital capacity (FVC),52.0,forced vital capacity (FVC),Changes in standards of care,Shulgina 2013 (PMID 23143842) reported no FVC effect but a per-protocol all-cause mortality reduction; EME-TIPAC (PMID 33165623 family) was null on its primary. Logged in the conflicts register.,"PHASE4 CORRECTION (C13): key result updated to EME-TIPAC (n=342), missed by the Phase 2 search, which supersedes the earlier smaller trial.",True,
interferon gamma-1b,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Probable,randomised null result,PHASE3,7.0,0.0,COMPLETED|TERMINATED,14711911.0,"Over a median of 58 weeks, interferon gamma-1b therapy did not significantly affect the primary end point of progression-free survival, defined as the time to disease progression or death, and no significant treatment effect was observed on measures of lung function, gas exchange, or the quality of life.",progression-free survival (time to disease progression or death),58.0,progression-free survival (time to disease progression or death),Study design changes were needed based on GIPF-001 results; program discontinued based on GIPF-007 results; test drug showed lack of benefit at interim analysis,,"6 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,"Registry termination text keyword-classified incorrectly; both programmes stopped after prespecified futility/interim analyses (lack of efficacy), not for the class the keyword matched."
n-acetylcysteine,Failed,no benefit on the trial's own primary endpoint,recruitment_or_operational,Probable,randomised null result,PHASE3,5.0,2.0,COMPLETED|WITHDRAWN,24836309.0,"At 60 weeks, there was no significant difference in the change in FVC between the acetylcysteine group and the placebo group (-0.18 liters and -0.19 liters, respectively; P=0.77).",change in FVC over 60 weeks,60.0,"Change in forced vital capacity, percentage of predicted vital capacity, percentage of predicted carbon monoxide diffusi",The study encountered challenges during startup due to the COVID-19 epidemic and was withdrawn.,"Post hoc pharmacogenomic and telomere-length subgroup analyses of the same trial data report differential effects (PMID 30566847 and the TOLLIP hypothesis behind NCT04300920); logged as an unresolved subgroup question (UN11), not as a positive result.","18 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,"Monotherapy is graded separately from the triple-therapy combination entity. Harm belongs to the combination, not to NAC alone; the NAC arm was null."
pamrevlumab,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Probable,phase 3 randomised null result,PHASE3,5.0,3.0,COMPLETED|TERMINATED,38762797.0,"There was no significant between-group difference for absolute change in FVC from baseline to week 48 (least-squares mean, -260 mL [95% CI, -350 to -170 mL] in the pamrevlumab group vs -330 mL [95% CI, -430 to -230 mL] in the placebo group; mean between-group difference, 70 mL [95% CI, -60 to 190 mL], P = .29).",absolute change in FVC (mL) from baseline to week 48,48.0,change from baseline in percentage of predicted forced vital capacity (FVC) at week 48,Sponsor Decision; Study did not meet its primary endpoint.,PRAISE phase 2 positive (PMID 31575509) vs ZEPHYRUS-1 phase 3 null (PMID 38762797); logged in the conflicts register as resolved-by-supersession.,"9 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 1 null, 0 harm.",True,Engine graded Conflicting on equal footing. Under the brief's evidence hierarchy a larger phase 3 on the same endpoint supersedes the phase 2; the disagreement is preserved in the conflicts register rather than in the verdict.
simtuzumab,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Probable,randomised null result,PHASE2,3.0,2.0,COMPLETED|TERMINATED,27939076.0,"We noted no difference in progression-free survival between simtuzumab and placebo in the intention-to-treat population (median progression free survival times of 12·6 months and 15·4 months for simtuzumab and placebo, respectively; stratified HR 1·13, 95% CI 0·88-1·45; p=0·329) and in patients with baseline sLOXL2 in the 50th percentile or higher (median progression-free survival 11·7 months and 14·3 months for simtuzumab and placebo, respectively; stratified HR 1·03, 95% CI 0·74-1·43; p=0·851), or in the 75th percentile or higher (median progression-free survival 11·6 months and 16·9 months for simtuzumab and placebo, respectively; stratified HR 1·20, 95% CI 0·72-2·00; p=0·475).",progression-free survival (time to all-cause death or categorical decrease from baseline in FVC % predicted),,progression-free survival (time to all-cause death or categorical decrease from baseline in FVC % predicted),The Study was terminated due to lack of efficacy.,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",False,
zinpentraxin alfa,Failed,no benefit on the trial's own primary endpoint,lack_of_efficacy,Probable,randomised null result,PHASE3,4.0,4.0,COMPLETED|TERMINATED,38354066.0,"In the final analysis, absolute change from baseline to Week 52 in FVC was similar between placebo and zinpentraxin alfa (-214.89 ml and -235.72 ml; P = 0.5420); there were no apparent treatment effects on secondary endpoints.",absolute change from baseline to Week 52 in FVC,52.0,absolute change from baseline to Week 52 in FVC,The study was terminated by Sponsor as the futility analysis outcome indicated that the study was unlikely to meet the predefined primary objective of the study. No new safety concerns were identified.,,"3 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 0 harm.",True,"Registry termination text keyword-classified incorrectly; both programmes stopped after prespecified futility/interim analyses (lack of efficacy), not for the class the keyword matched."
BG00011,Harm outweighs benefit,harm exceeded benefit,safety_toxicity,Probable,randomised harm signal,PHASE2,2.0,2.0,COMPLETED|TERMINATED,35771569.0,"At Week 26, there was no significant difference in FVC change from baseline between patients who received BG00011 (n = 20) or placebo (n = 23), least squares mean (SE) -0.097 L (0.0600) versus -0.056 L (0.0593), respectively (P = 0.268).",FVC change from baseline,26.0,FVC change from baseline,Study was stopped because of safety concerns.,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,
ambrisentan,Harm outweighs benefit,harm exceeded benefit,lack_of_efficacy,Probable,randomised harm signal,PHASE3,2.0,2.0,TERMINATED,23648946.0,"Ambrisentan-treated patients were more likely to meet the prespecified criteria for disease progression (90 [27.4%] vs. 28 [17.2%] patients; P = 0.010; hazard ratio, 1.74 [95% CI, 1.14 to 2.66]).","Time to disease progression (death, respiratory hospitalization, or categorical decrease in lung function)",34.7,"Time to disease progression (death, respiratory hospitalization, or categorical decrease in lung function)",Lack of efficacy,,"5 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 1 null, 1 harm.",False,
