domain,intervention,verdict_class,verdict_detail,best_evidence,evidence_base,population,outcome,key_result,direction,certainty,unmet_need,caveat,pmid,doi
Modern — anchor drugs,Methotrexate monotherapy,Works,Established benefit,Cochrane review,"7 RCTs, 732 pts",RA vs placebo,ACR50 at 52 wk,RR 3.0 (95% CI 1.5 to 6.0),benefit,not stated,UN1,Placebo-controlled monotherapy data are old and short-term; ~30-40% do not reach low disease activity (Phase 1),24916606,10.1002/14651858.CD000957.pub2
Modern — anchor drugs,Sulfasalazine,Works,Established benefit,Cochrane review,"6 RCTs, 468 pts",RA vs placebo,"Tender/swollen joints, pain, ESR","SMD -0.49 joints, -0.42 pain; ESR -17.6 mm; withdrawal for adverse reactions OR 3.0",benefit,not stated,UN1,Effects on overall health status and radiographic progression 'not clear'; higher toxicity withdrawals,10796400,10.1002/14651858.CD000958
Modern — anchor drugs,Hydroxychloroquine,Works,Modest benefit,Cochrane review,"4 RCTs, 300 pts",RA vs placebo,"Joint counts, pain, global",SMDs -0.33 to -0.52 across outcomes,benefit,not stated,"UN1,UN6",Weakest csDMARD for disease activity; retained largely for combination use and metabolic/lipid effects,10796401,10.1002/14651858.CD000959
Modern — anchor drugs,Triple therapy (MTX+SSZ+HCQ) vs MTX+etanercept,Works,Established benefit,RCT (RACAT/TEAR),353 and 755 pts,MTX-inadequate response,Treatment durability; radiographic change,78% vs 63% continuing conventional therapy at 1 yr; radiographic change 0.64 (MTX+ETN) vs 0.11 (triple),benefit,not stated,"UN1,UN6",Cheap non-inferior option that is under-used; radiographic difference small and of unclear clinical meaning,28388820,10.1002/art.40053
Modern — anchor drugs,"Low-dose prednisolone 5 mg/day, 2 yr add-on (GLORIA)",Conflicting,Benefit and harm both real,RCT,451 pts aged 65+,"Active RA, age 65+, 2 yr",DAS28; Sharp/van der Heijde; adverse events of special interest,"DAS28 0.37 lower (95% CL 0.23, p<0.0001); damage 1.7 points lower (p=0.003); harm 60% vs 49%, adjusted RR 1.24 (95% CL 1.04, p=0.02)",mixed,co-primary benefit and harm both met,"UN1,UN6",Quantified trade-off rather than a resolution; largest harm contrast was in mostly non-severe infections,35641125,10.1136/annrheumdis-2021-221957
Modern — anchor drugs,Second-line DMARD choice after b/tsDMARD failure,Works,Established benefit,Cochrane living NMA,"19 RCTs, 4779 pts",Inadequate response to a b/tsDMARD,ACR50,"Moderate-to-high certainty benefit for an untried TNF inhibitor, IL-6 inhibitors, abatacept, rituximab and JAK inhibitors; untried TNFi OR 6.04 (95% CrI 2.49 to 16.3)",benefit,moderate to high certainty (GRADE),UN1,Establishes that switching works on average but gives no rule for choosing between classes for an individual,42440279,10.1002/14651858.CD013562.pub2
Modern — failed or stalled,Anakinra (IL-1 receptor antagonist),Works,Works but clinically inferior,Cochrane review,"5 RCTs, 2876 pts",RA,ACR20 at 24 wk,ACR20 38% vs 23% placebo (15% absolute); ACR50 18% vs 7%; ACR70 7% vs 2%; injection-site reactions 71% vs 28%,benefit,"authors call it 'clinically meaningful, though modest'",UN1,Statistically positive yet displaced in practice; serious infections 1.8% vs 0.6% (not statistically different). IL-1 is a real but weak axis in RA,19160248,10.1002/14651858.CD005121.pub3
Modern — failed or stalled,"IL-17 inhibitors (secukinumab, ixekizumab)",Conflicting,"Conflicting: statistically positive, not adopted",Meta-analyses,"10 studies (TNF-IR) and 7 studies, 1220+ pts","RA, largely TNF-inadequate response",ACR20/ACR50,"TNF-IR: ACR20 RR 1.67 (1.40-2.00), ACR50 RR 1.94 (1.43-2.63); separate pooling ACR20 OR 2.47 (1.29-4.72)",benefit,not stated,UN1,"Class is licensed in PsA/axSpA but did not enter RA practice. Our search did not retrieve a source documenting the development decision, so the reason is not established here",31165341,10.1007/s10067-019-04611-4
Modern — failed or stalled,p38 MAPK inhibitors,Failed,Failed to translate,Meta-analysis,4 RCTs,RA,"ACR20/ACR50, DAS28",Better ACR20 in p38 inhibitor arms but effect not sustained across outcomes,mixed,not stated,UN1,A mechanistically compelling target with early signal that did not become a drug — a reference case for target-to-drug attrition in RA,23900576,10.1007/s10067-013-2371-7
Modern — failed or stalled,Fostamatinib (Syk inhibitor),Uncertain,Stalled,Meta-analysis,875 pts,RA,ACR20/50/70,Borderline ACR20 benefit; ACR50 and ACR70 more clearly positive,mixed,not stated,UN1,"Efficacy signal real but modest relative to toxicity (hypertension, diarrhoea); not developed further for RA",21711059,10.1093/rheumatology/ker223
Modern — failed or stalled,Sirukumab (anti-IL-6 mAb),Works — abandoned anyway,"Efficacy shown, not licensed",RCTs (phase 3),878 and 1670 pts,"RA, DMARD- or TNF-inadequate response",ACR20 at wk 16,40% vs 24% placebo (50 mg q4w); and 53.5%/54.8% vs placebo in the larger trial,benefit,not stated,UN1,Demonstrates that positive phase 3 efficacy does not guarantee approval; the regulatory/safety reasoning was not retrieved by our search,28215362,10.1136/annrheumdis-2016-210310
Modern — failed or stalled,Ocrelizumab (2nd-generation anti-CD20),Works — abandoned anyway,"Efficacy shown, abandoned in RA",Meta-analysis,"4 RCTs, 2230+ pts",MTX-inadequate response,DAS28-ESR response at 24 wk,RR 3.77 (95% CI 2.47 to 5.74),benefit,not stated,UN1,"Efficacious but development in RA stopped; drug later succeeded in multiple sclerosis. Shows abandonment can be about risk-benefit context, not target validity",28236221,10.1007/s10067-016-3524-2
Modern — failed or stalled,Denosumab (anti-RANKL),Works,Works for structure only,RCT,98 pts,RA with erosions,Erosion healing on HR-pQCT at 24 mo,"Erosion healing 20% (denosumab) vs 6% (placebo), p=0.045",benefit,not stated,UN8,"Does not reduce inflammation or disease activity; addresses the damage-repair unmet need specifically, and is not a DMARD substitute",33811034,10.1136/annrheumdis-2020-217459
Modern — experimental,"Vagus nerve neuromodulation, implanted (RESET-RA)",Works,"Positive sham-controlled signal, modest effect",Sham-controlled RCT (pivotal),242 pts,Inadequate response/intolerance to b/tsDMARDs,ACR20 at 3 mo,"ACR20 35.2% (active) vs 24.2% (sham), P=0.0209; open-label 50.0% at 6 mo and 52.8% at 12 mo; related SAEs 1.6%, all perioperative and resolved",benefit,primary endpoint met,"UN1,UN2",11-percentage-point separation from sham in a refractory population; open-label figures are not controlled comparisons,41429981,10.1038/s41591-025-04114-7
Modern — experimental,"Vagus nerve stimulation, first-in-human mechanism",Uncertain,Mechanism supported,Open-label proof of concept,Small cohorts (epilepsy + RA pts),RA and epilepsy,Whole-blood TNF/IL-1B/IL-6; clinical composite,VNS inhibited TNF production for up to 84 days; disease severity improved significantly,benefit,not stated,"UN1,UN2","Open-label, no sham; established biological plausibility that RESET-RA later tested",27382171,10.1073/pnas.1605635113
Modern — experimental,Transcutaneous non-invasive VNS,Poorly studied,Poorly studied,Open-label pilot,16 high-activity + 20 low-activity pts,RA,DAS28-CRP after 4 days,High-activity cohort DAS28-CRP 4.1 to 3.8 (p=0.02); CRP 8.2 to 6 mg/mL (p=0.01); IFN-gamma 29.8 to 22.5 pg/mL (p=0.02); no effect in low-activity cohort,benefit,'preliminary support',UN2,4-day open-label study; a non-invasive route to the same mechanism has not been tested against sham in RA,33047630,10.1080/03009742.2020.1764617
Modern — experimental,CD19xCD3 bispecific T-cell engager (blinatumomab),Uncertain,"Early, uncontrolled",Case series (compassionate use),6 pts,Multidrug-resistant RA,Disease activity; B-cell compartment; synovitis imaging,Rapid decline in disease activity in all 6; depletion of activated memory B cells replaced by IgD+ naive B cells; no clinically relevant cytokine-release syndrome,benefit,'suggest the feasibility and potential',UN1,"n=6, no control; the immune-reset hypothesis it supports is the same one behind CAR-T in autoimmunity",38671240,10.1038/s41591-024-02964-1
