intervention,inclusion_tier,registry_trials,max_phase,statuses,trials_with_posted_results,category,traditional,abandoned_reason,termination_reasons,verdict_class,verdict_sublabel,evidence_tier,evidence_tier_sublabel,n_human_studies,n_mono_randomised,strongest_design,key_result_pmid,key_result_verbatim,metric,duration_weeks,comparator_arm_change,endpoint_dimension,indirect_only,conflict_present,conflict_note,safety,pooled_context_pmids,combination_evidence_pmids,why,curated,curation_note,duplicate_of,registry_only_result
2-leg cycle training,I3,1,NA/none,ACTIVE_NOT_RECRUITING,0,non_pharmacological,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
9MW3811,I3,1,PHASE1,UNKNOWN,0,biologic,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
ABBV-142,I3,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
AGMB-447,I3,1,PHASE1,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
AK3280,I3,2,PHASE3,NOT_YET_RECRUITING|UNKNOWN,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
AMB-05X,I3,1,PHASE2,WITHDRAWN,0,investigational_drug,False,unknown,to focus resources on other studies,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
ANG-3070,I3,1,PHASE1,UNKNOWN,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
AP01,I1,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Uncertain,positive randomised signal below phase 3,Uncertain,early-phase or single randomised source,2,2,rct,36948586.0,Mean FVC % predicted remained stable in the 100 mg two times per day group.,"safety, tolerability and efficacy (FVC % predicted change at week 24)",24.0,,"safety, tolerability and efficacy (FVC % predicted change at week 24)",False,False,,"Most common treatment-related adverse events were mild or moderate: cough (15.4%), rash (12.1%), nausea (8.8%); side effects commonly associated with oral pirfenidone were less frequent with AP01.",,,"2 human studies attributed; strongest rct; IPF-only monotherapy randomised: 2 positive, 0 null, 0 harm.",False,,,
AP02,I3,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
ARO-MMP7 (inhaled),I3,1,PHASE1|2,COMPLETED,1,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,PHASE6 A5 (registry-results sweep): posted results exist but the primary endpoints are safety and tolerability; grading unchanged.,,"yes - posted registry results only, no publication located in this sweep"
ART-123,I3,1,PHASE3,COMPLETED,0,biologic,False,lack_of_efficacy,,Failed,randomised trial in acute exacerbation: 90-day survival numerically lower than placebo,Probable,"Probable (one randomised placebo-controlled trial, small, stopped for futility)",1,1,rct,31917621.0,"The survival proportions on Day 90 were 72.5% (29 of 40) in the thrombomodulin alfa group and 89.2% (33 of 37) in the placebo group, a difference of -16.7 percentage points (95% confidence interval, -33.8 to 0.4%;",survival proportion at day 90 after acute exacerbation,13.0,,survival after acute exacerbation (E10/E11),False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,Reclassified from 'Poorly studied' in the Phase 3 retrieval-artefact check (corrections entry C11): the Phase 2 per-entity search had missed the primary report. Graded from the retrieved abstract; full text not read.,,
AZD5055,I3,2,PHASE1,COMPLETED|TERMINATED,0,investigational_drug,False,trial_design,The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
AZD8965,I3,2,PHASE2,COMPLETED|RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
Astragalus,I4,0,none (literature-only),,0,,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,no human study retrieved,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BBT-877,I3,2,PHASE2,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BC006,I3,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BG00011,I1,2,PHASE2,COMPLETED|TERMINATED,2,biologic,False,safety_toxicity,Study was stopped because of safety concerns.,Harm outweighs benefit,randomised evidence of excess harm in IPF,Probable,randomised harm signal,1,1,rct,35771569.0,"At Week 26, there was no significant difference in FVC change from baseline between patients who received BG00011 (n = 20) or placebo (n = 23), least squares mean (SE) -0.097 L (0.0600) versus -0.056 L (0.0593), respectively (P = 0.268).",FVC change from baseline,26.0,placebo,FVC change from baseline,False,False,,"Serious adverse events occurred more frequently in BG00011 patients, including four deaths; IPF exacerbation or progression reported in 13 patients (all in BG00011 group); 44.4% of BG00011 recipients ",,,"1 human studies attributed; strongest rct; IPF-only monotherapy randomised: 0 positive, 0 null, 1 harm.",False,,,
BI 1819479,I3,1,PHASE2,COMPLETED,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BI 1839100,I3,1,PHASE2,TERMINATED,0,investigational_drug,False,regulatory_or_commercial,Sponsor decision,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BI 765423,I3,1,PHASE2,RECRUITING,0,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BLD-2660,I3,1,PHASE2,WITHDRAWN,0,investigational_drug,False,safety_toxicity,Withdrawn due to concerns for patient safety during COVID-19 crisis,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
BMS-986020,I1,1,PHASE2,COMPLETED,1,investigational_drug,False,safety_or_toxicity,,Uncertain,positive randomised signal below phase 3,Uncertain,early-phase or single randomised source,4,4,rct,30201408.0,The study was terminated early because of three cases of cholecystitis that were determined to be related to BMS-986020,rate of change in FVC from baseline to week 26,26.0,placebo,rate of change in FVC from baseline to week 26,False,False,,Dose-related elevations in hepatic enzymes observed in both BMS-986020 groups; study terminated early due to three cases of cholecystitis related to BMS-986020.,,,"4 human studies attributed; strongest rct; IPF-only monotherapy randomised: 4 positive, 0 null, 0 harm.",False,PHASE4 CORRECTION (C18): abandonment reason was recorded as not_applicable; the trial was terminated for drug-related hepatobiliary toxicity.,,
C-Mo system,I3,1,NA/none,RECRUITING,0,device_or_procedure,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",False,,,
C106,I3,1,PHASE1,COMPLETED,1,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,PHASE6 A5 (registry-results sweep): posted results exist but the primary endpoints are safety and pharmacokinetics; grading unchanged.,,"yes - posted registry results only, no publication located in this sweep"
C21,I3,1,PHASE2,COMPLETED,1,investigational_drug,False,not_applicable,,Poorly studied,no IPF-specific human outcome evidence retrieved,Unknown,registry-only,0,0,none retrieved,,,,,,,False,False,,,,,"No human study reporting an IPF outcome for this agent was retrieved (PubMed, 2026-09-02).",True,PHASE6 A5 (registry-results sweep): posted results exist but the primary endpoints are safety and tolerability; grading unchanged.,,"yes - posted registry results only, no publication located in this sweep"
