section,item,statement,evidence_tier,unmet_need,reason,source,reason_class,evidence_tier_ord
know,Disease burden,"GBD 2021: 17.6M cases (15.8-20.3), age-standardised prevalence 208.8/100k, +14.1% since 1990, F:M 2.45, projected 31.7M by 2050",Established,—,—,PMID 37675071,—,
know,Autoimmunity precedes disease,Anti-CCP and RF detectable in stored blood a median 2.5 years before symptom onset; ACPA seropositivity precedes clinical RA by 3-5 years on average,Established,UN5,—,PMID 14558078,—,
know,Gene-environment interaction,HLA-DRB1 shared epitope x smoking for ACPA-positive RA: RR 8.7 (5.7-13.1); attributable proportion due to interaction 0.4-0.6,Established,UN5,—,PMID 19180475,—,
know,Polygenic architecture,"GWAS meta-analysis 29,880 cases / 73,758 controls: 101 loci, 98 candidate genes; RA loci enriched for approved drug targets",Established,—,—,PMID 24390342,—,
know,Occupational inhalant exposures,"Silica RA OR 1.94 (1.46-2.58) in both seropositive and seronegative disease; 31-study review of silica, asbestos, solvents, pesticides, animal dust, exhaust: RR 1.25-1.49",Established,UN5,—,PMID 33622738,—,
know,Tight control beats routine care,"TICORA: good response 82% vs 44%, DAS28 remission 65% vs 16%",Established,UN1,—,PMID 15262104,—,
know,Treatment strategies converge,BeSt 2-year: all four strategies converged at 42% remission; initial combination better suppressed joint damage,Established,UN1,—,PMID 17332886,—,
know,First-line ceiling,"NORD-STAR 48-wk CDAI remission: abatacept 59.3%, certolizumab 52.3%, tocilizumab 51.9%, active conventional 39.2%",Established,UN1,—,PMID 37423264,—,
know,Remission is an operational definition,2011 ACR/EULAR provisional definition; 2022 Boolean2.0 (PtGA <=2 cm) raised 6-month remission from 14.8% to 20.6% (early) and 4.2% to 6.0% (established) with no loss of predictive value,Established,UN1,—,PMID 36357161,—,
know,Remission is not absence of disease,"Power Doppler positivity in clinical remission: flare OR 4.52 (2.61-7.84), progressive erosion OR 12.80; ACPA+ memory B cells persist activated in clinical remission including under JAK inhibition",Established,UN3,—,PMID 26290588,—,
know,Residual symptoms persist in remission,"55-record systematic review: residual disability, tender/swollen joints, pain, fatigue and impaired patient global persist in a substantial fraction meeting remission or LDA targets",Established,UN2,—,PMID 33862450,—,
know,Refractory disease is a minority but not rare,"23 studies, 27,987 patients: D2T prevalence 11.7% (9.5-14.3); >=3 b/tsDMARD failures 4.3%; >=4 failures 1.6%; poly-refractory 2.7%",Established,UN1,—,PMID 39909563,—,
know,Refractory disease splits in two,"Among D2T patients with ultrasound, 57% persistent inflammatory refractory (PIRRA) and 43% non-inflammatory refractory (NIRRA); NIRRA had higher BMI and fibromyalgia prevalence",Established,UN2,—,PMID 38073124,—,
know,Fibromyalgia co-occurrence distorts measurement,"34.2% of 187 RA patients met 2016 FM criteria; FM independently associated with higher DAS28-CRP driven by subjective components, worse QoL, and more corticosteroid use despite less DMARD use",Established,UN2,—,PMID 42333272,—,
know,Comorbidity burden,"COMORA (3,920 patients, 17 countries): depression 15%, asthma 6.6%, MI/stroke 6%, solid malignancy 4.5%, COPD 3.5%",Established,UN6,—,PMID 24095940,—,
know,Excess cardiovascular mortality,Meta-SMR for cardiovascular mortality 1.50 (1.39-1.61); ischaemic heart disease 1.59; cerebrovascular 1.52,Established,UN6,—,PMID 19035419,—,
know,RA-ILD is a major mortality driver,"Denmark: RA-ILD in 2.2% of incident RA; 1-year mortality 13.9% vs 3.8%, 10-year 60.1% vs 34.5%",Established,UN6,—,PMID 28213571,—,
