id,date,phase,claim_corrected,correction,basis,effect
C1,2026-09-02,Phase 1,Phase 0 open question Q3 described PRECISIONS (NCT04300920) as 'unretrievable'.,"The registry snapshot taken 2026-09-02 gives a completion date of 2026-03-02, so the trial is within the 12-month reporting window. It is reclassified from 'unretrievable' to 'no results found (within reporting window)'. Phase 0's underlying statements (completed, no results posted, only a design paper indexed) remain accurate.","ClinicalTrials.gov API completion date field, retrieved 2026-09-02",UN11 and the retrievability register use the corrected classification. Q3 remains open.
C2,2026-09-02,Phase 1,Phase 0 reported '129 completed since 2010 without posted results'.,"That count used trial START date. Counting by registry-recorded COMPLETION date gives 134 completed 2010 or later without posted results, of which 102 have no post-completion publication either. The Phase 1 register reports completion-date-based counts throughout.",Recount from ipf_ctg_raw.csv plus completion dates retrieved 2026-09-02,Phase 1 headline counts (239 / 90 / 39 / 110 / 97) supersede the Phase 0 counts for retrievability claims.
C3,2026-09-02,Scope audit,scope_limits.csv v1 merged retrievability and dating into a single limit (L5).,"IPF_SCOPE.md separates them: L5 retrievability, L6 dating and supersession. scope_limits.csv was reissued with six rows to match.","Scope audit against the Phase 0 report, 2026-09-02",IPF_SCOPE.md is authoritative for Phases 1-6; the register file now matches it.
C4,2026-09-02,Phase 2 brief,"IPF_SCOPE.md Part C left six criteria unfixed (TCM thresholds, whether risk of bias gates inclusion, non-English database coverage, curated-intervention inclusion threshold, the survival-grading bar, cross-trial FVC admissibility).","All six are now prespecified in IPF_PHASE2_BRIEF.md, written before any Phase 2 treatment effect was retrieved. Numeric TCM thresholds were replaced by design-based tiers T1-T5 rather than being set: the corpus distribution is reported instead of converted into a cutoff, and studies failing the T1 bar move down a tier and keep their row. Risk of bias is reported and caps the verdict rather than gating inclusion. Cross-trial quantitative FVC comparison is declared inadmissible.",IPF_SCOPE.md Part C; Phase 1 endpoint taxonomy findings on placebo drift and absent surrogacy validation,Phase 2 grading and the TCM screen follow the brief; the brief is published with the record.
C5,2026-09-02,Phase 2,Evidence-to-intervention attribution rebuilt three times,"Evidence was first attached to an intervention by which entity's PubMed query returned the abstract. That let a harm signal from a shared multi-arm abstract propagate to every agent named in it. Attribution is now taken from each extraction's own intervention list, with comparator-only mentions excluded.","Phase 2 grading run, 2026-09-02; inspection of the resulting strong-verdict rows against the retrieved abstracts",ipf_phase2_landscape.csv column 'why' plus ipf_phase2_extractions.json
C6,2026-09-02,Phase 2,Role classifier added (monotherapy / combination or head-to-head / pooled many-agent),"Network meta-analyses listing many agents were spreading a single direction across all of them. Pooled many-agent sources are now kept as context but excluded from direction counting. A first version of this rule misread multi-dose arms of one agent as multiple interventions, which briefly left two phase 3 programmes with no monotherapy evidence; fixed by treating listed interventions that all contain the entity's own name variants as monotherapy.","Phase 2 grading run, 2026-09-02; inspection of the resulting strong-verdict rows against the retrieved abstracts","ipf_phase2_landscape.csv columns n_mono_randomised, pooled_context_pmids"
C7,2026-09-02,Phase 2,Model-based grading abandoned in favour of an explicit rule engine plus documented manual curation,"The per-session model budget was exhausted. The rule engine is also auditable: every verdict is reproducible from the recorded columns, and 25 rows carry an explicit curation_note stating what was overridden and why.","Phase 2 grading run, 2026-09-02; inspection of the resulting strong-verdict rows against the retrieved abstracts",ipf_phase2_landscape.csv column curated / curation_note
C8,2026-09-02,Phase 2,Traditional-medicine record classifier rewritten around PubMed publication types; four tiers corrected by hand,"A first pass keyed on abstract wording classified a block of narrative reviews and mechanistic papers as non-randomised human evidence. The rewritten rule requires publication-type evidence plus explicit human enrolment. Four borderline records were then corrected with stated reasons (PMIDs 30616998, 41184899, 33164264, 36857968).","Phase 2 grading run, 2026-09-02; inspection of the resulting strong-verdict rows against the retrieved abstracts","ipf_phase2_traditional_medicine_screen.csv columns tier, tier_reason, tier_manually_corrected"
C9,2026-09-02,Phase 2,Lung transplantation added as a curated landscape row,"Transplantation is a procedure, not a trial arm label, so it was absent from both the registry intervention universe and the per-entity literature search. Its survival figure is read back from the Phase 1 ceiling table and is registry-based, so it is capped under the brief's survival rule.","Phase 2 grading run, 2026-09-02; inspection of the resulting strong-verdict rows against the retrieved abstracts",ipf_phase2_landscape.csv row 'lung transplantation'; ipf_phase1_ceiling.csv
C10,2026-09-02,Phase 3 (correcting Phase 2),"Phase 2 report and 9 landscape rows cited E-codes that do not match ipf_phase1_endpoint_taxonomy.csv: categorical progression as E7, functional capacity as E13, HRQoL/SGRQ as E11, survival as E15, cough as E10, acute exacerbation as E9.","Corrected to the taxonomy: categorical progression E3, functional capacity E5, HRQoL SGRQ E6, survival E11, cough E9, acute exacerbation E10. Dimension names and all results were already correct; only the codes were wrong, so no verdict, tier or effect estimate changed.","Row-by-row audit of every E-code string in ipf_phase2_landscape.csv and IPF_phase2_treatment_landscape.md against the Phase 1 taxonomy, 2026-09-02, at the start of Phase 3.",Phase 3 map and Phase 4 lead screening use the corrected codes. Both Phase 2 files re-issued as new versions.
C11,2026-09-02,Phase 3 (correcting Phase 1 and Phase 2),"Phase 2 graded 17 entities with a PHASE3 registry label as 'Poorly studied - no IPF-specific human outcome evidence retrieved'. For six of them the primary report exists and was missed by the per-entity search: ziritaxestat (ISABELA 1/2), deupirfenidone (ELEVATE-IPF, already cited in the Phase 1 ceiling table), admilparant, INS018_055/rentosertib, ART-123/thrombomodulin alfa and NAL ER/nalbuphine ER. ziritaxestat was also filed in the negative register as 'development stopped before a result was established', and 'co-trimoxazole or doxycycline' was carried as an ungraded duplicate of the CleanUP-IPF evidence. The Phase 1 cough ceiling cited low-dose morphine as the best documented result.","Retrieval-artefact check run before Phase 4 on all 17 phase-3-labelled 'Poorly studied' entities. Six reclassified from the retrieved abstracts: ziritaxestat -> Failed (Established; null primary endpoint in both phase 3 trials), ART-123 -> Failed (Probable; day-90 survival 72.5% vs 89.2% placebo), deupirfenidone -> Uncertain (Probable; one phase 2b positive at 26 weeks), admilparant -> Uncertain (IPF-cohort CI includes zero; the significant estimate is the separate PPF cohort), INS018_055 -> Uncertain (Hypothesis; safety primary endpoint, exploratory FVC signal), NAL ER -> Works on cough (E9) only (Probable; two randomised trials, <=6 weeks, both sponsor-run). ziritaxestat moved in the negative register from 'development stopped' to 'no benefit on the trial's own primary endpoint'; ART-123 and the CleanUP-IPF strategy label added there. The Phase 1 cough ceiling row now cites CORAL (60.2% relative reduction vs 16.9% placebo at 6 weeks) and CANAL alongside PACIFY COUGH. The other eleven entities (AK3280, EZ-2053, HEC585, HSK44459, TDI01, minocycline, azathioprine monotherapy, lansoprazole, sodium pyruvate, methylprednisolone/prednisone monotherapy, and the doxycycline label) returned no IPF randomised report and stay 'Poorly studied'.","Targeted PubMed retrieval on 2026-09-02 with drug-name and trial-acronym synonyms plus publication-type filtering, run on the 17 entities. Every reclassified row carries a verbatim quote checked as an exact substring of its own abstract. Searches recorded in ipf_phase3_retrieval_check.json.",Landscape verdicts change from 6 Works / 8 Failed / 8 Harm outweighs benefit / 1 Conflicting / 43 Uncertain / 215 Poorly studied to 7 Works / 11 Failed / 8 Harm outweighs benefit / 1 Conflicting / 46 Uncertain / 208 Poorly studied (the eleventh Failed row is the resolved CleanUP-IPF duplicate label). Phase 4 must not treat any of these six as an evidence gap. Establishes that the Phase 2 per-entity search under-retrieves for agents whose registry label is a code name or a two-drug string; the residual 208 'Poorly studied' rows are therefore an upper bound on genuine absence of evidence.
C12,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),"Phase 2 and map statement M6.9 held that no randomised trial had tested whether pulmonary rehabilitation gains persist beyond 3-6 months, and rated durability an open question.","A 52-week randomised trial of exercise training on background antifibrotic therapy (PMID 37012071) exists and was missed. It is null on 6MWD ('mean difference, 21 m (95% CI -25 to 66), p=0.38') and favours training on endurance time ('mean difference, 187 s (95% CI 34 to 153), p=0.019'). The untested horizon is now beyond 12 months, not beyond 6 months.",Phase 4 screen-1 search (rehabilitation synonyms) 2026-09-03; abstract read. The endurance-time interval as printed does not contain its own point estimate; reproduced verbatim and flagged as an apparent source typographical error - full text not obtained.,Landscape curation note and M1.6 amended; candidate P22 (durability) rejected as already answered.
C13,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 held a smaller co-trimoxazole trial as the key result and carried an unresolved intention-to-treat versus per-protocol conflict (X1).,"The adequately powered EME-TIPAC trial (n=342, PMID 33289822) was missed. Its primary time-to-event composite is null ('hazard ratio of 1.2 ([95% CI, 0.9-1.6]; P = .32)'). X1 is resolved by supersession; the adherence question survives only as a re-analysis action.",Phase 4 screen-1 search (co-trimoxazole/trimethoprim synonyms) 2026-09-03; abstract read.,"Landscape key result, negative-results register and M2.3 updated; X1 status changed; candidate P11 rejected as superseded, re-analysis carried to Phase 6."
C14,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 and Phase 3 recorded sildenafil as the record's only genuinely conflicting intervention (X4) and listed a right-heart-dysfunction subgroup as an open question (M6.5).,"Two randomised sources were missed: a phase 2b trial adding sildenafil to pirfenidone in advanced IPF at risk of group 3 pulmonary hypertension, null on its primary endpoint ('between-group difference 3·06% [95% CI -11·30 to 17·97]; p=0·65'), and a prespecified INSTAGE subgroup analysis ('There was no heterogeneity between subgroups by presence of RHD in the effect of nintedanib plus sildenafil versus nintedanib alone on change in SGRQ total score at Week 12 (P = 0.74) or Week 24 (P = 0.90), or change in FVC at Week 12 (P = 0.58) or Week 24 (P = 0.55)'). Sildenafil is reclassified Failed in the overall population and the subgroup hypothesis is recorded as tested and not supported. The trialists' own residual sentence ('further research is required to establish if specific subgroups of patients with IPF might benefit from sildenafil') is preserved as an open statement not backed by a positive subgroup result.",Phase 4 screen-1 search (sildenafil synonyms) 2026-09-03; both abstracts read.,Landscape verdict changed Conflicting->Failed; X4 resolved; new map statement M2.13; M3.10 and M6.5 superseded; candidate P12 rejected.
C15,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),"Phase 2 graded cromolyn sodium (RVT-1601) as a programme stopped before a result and listed it as abandoned rather than refuted (M6.1, M3.5).","A phase 2a trial of the same inhaled formulation was positive on cough (PMID 28923239) and a larger phase 2b dose-ranging trial was null ('did not provide benefit over placebo for the treatment of chronic cough in patients with IPF'). The programme was superseded by its own null result, not abandoned before one.",Phase 4 screen-2 search (cromolyn/RVT-1601 synonyms) 2026-09-03; abstracts read.,Landscape verdict changed to Failed; negative-results register row reclassified; new map statement M2.14; removed from M3.5 and M6.1; candidate P3 rejected as superseded.
C16,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),"Phase 2 labelled ten interventions 'positive randomised signal below phase 3', and M6.11 listed them as positive signals awaiting adequately sized follow-up.","For GSK3008348, LTI-03, TRK-250, bexotegrast, omipalisib, salbutamol, sirolimus, valganciclovir, palliative care and mesenchymal stem cells the trial's own primary endpoint was safety, tolerability, pharmacokinetics, lung deposition, feasibility or a mechanistic marker, not a clinical outcome. Sub-labels rewritten; M6.11 rewritten to state that only BMS-986020 has a positive clinical-endpoint result among these.","Audit of each row against its own recorded primary-endpoint field, Phase 4 2026-09-03; for sirolimus the abstract states 'Lung function was unaffected by either treatment'.",Ten landscape sub-labels corrected; M6.11 and M3.6 rewritten; candidates P24-P33 rejected for absence of a clinical signal to test.
C17,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 recorded omeprazole as a positive randomised signal below phase 3 on cough.,"Full text verified: primary objectives were feasibility and acceptability with no formal sample-size calculation; the adjusted cough-frequency difference was 39.1% lower (95% CI 66.0% lower to 9.3% higher), i.e. including no effect; and in the same trial FEV1 -0.12 L (95% CI -0.25 to -0.002), -7.4% predicted (-14.6 to -0.2) and FVC -0.11 L (-0.21 to -0.02) favoured placebo, with lower respiratory tract infection in 6 of 23 versus 3 of 22.","Full text of the pilot trial (doi 10.1136/thoraxjnl-2018-212102) obtained and read, Phase 4 2026-09-03.",Landscape sub-label and tier corrected; M3.6 and M6.11 amended; candidate P23 rejected - verification weakened rather than supported it.
C18,2026-09-03,Phase 4 (correcting Phase 2 and Phase 3),Phase 2 recorded BMS-986020's abandonment reason as not_applicable.,The trial was terminated for drug-related hepatobiliary toxicity: 'The study was terminated early because of three cases of cholecystitis that were determined to be related to BMS-986020'. Reason changed to safety_or_toxicity and a harm-domain row added to the negative-results register.,Abstract of the phase 2 trial (PMID 30201408) read in Phase 4 2026-09-03.,Landscape and negative-results register updated; M6.11 rewritten; candidate P13 rejected as already being answered by the phase 3 successor programme in the same pathway.
