lead,source,finding,enables,public_only
RL-01,"Lancet Rheumatol 2024, 4-year TREAT EARLIER (PMID 39303731) — data-sharing statement",Requests for deidentified participant data can be made to the corresponding author on publication; considered on an individual basis. SAP and protocol of the 2-year analyses already published.,"Identifies the only access route; no repository, no standing access policy.",no
RL-01,RMD Open 2026 MRI responder analysis (PMID 41558803) — data availability statement,"Same wording: available on reasonable request to the corresponding author following publication, individual basis.",Confirms the route is unchanged for the imaging dataset specifically.,no
RL-01,"Trials 2020 protocol (PMID 33076964), item {29}","'The final trial dataset ... will be available for the principal investigator and data manager (LUMC, Department of Rheumatology).'","No third-party sharing commitment exists at protocol level; sharing is discretionary, not contractual.",no
RL-01,Author/contact route (printed in the articles),"4-year paper: corresponding author at Dept of Rheumatology, LUMC. MRI responder paper: corresponding author at LUMC. Senior/PI author: van der Helm-van Mil (LUMC and Erasmus MC). Institutional emails printed in both articles.",Contact route fully determined from public record.,yes
RL-01,"EU Clinical Trials Register, EudraCT 2014-004472-35",Record present. End of Trial status: Completed; global end of trial 2024-10-10. No publicly posted summary-results record; register carries no IPD-sharing field.,Confirms trial closure date (analyses may still be active); adds no data access.,yes
RL-01,Trials 2020 protocol — MRI acquisition and scoring,"MRI scored for synovitis and osteitis by OMERACT RAMRIS extended to MTP joints, and tenosynovitis by the Haavardsholm method, with a detailed scoring overview in supplementary material; primary endpoint (clinical arthritis / 2010 criteria), co-primary DMARD-free status, and PRO endpoints all defined.","Confirms the burden, allocation and outcome variables required for a treatment-by-burden interaction are collected and publicly defined. Granularity of any shared file (per-joint vs composite) is not public.",yes
RL-01,"Repository search (EU register, registry records, journal statements)",No public or controlled-access repository deposit of TREAT EARLIER participant data was identified.,Rules out executing the re-analysis without the LUMC team.,no
RL-02,"ISRCTN36667085, full registry record","Target enrolment 39; total final enrolment 15; recruitment 2014-10-01 to 2022-06-20; overall end date 2023-12-31; publication stage 'Results'; IPD sharing plan 'No', statement 'unknown ... at a later date'. Linked outputs: results article PMID 33928262 (phase 1b, n=15), protocol PMID 32590730, SAP PMID 34229728, HRA summary link.","Recruitment ran ~14 months past the phase 1b publication, yet final enrolment equals the phase 1b cohort exactly. Registry cannot distinguish 'part 2 opened and enrolled nobody' from 'field never updated'.",partial
RL-02,"EU Clinical Trials Register, EudraCT 2014-001339-35 (from the HRA record)",Query returns 0 records. The register does not publicly display phase 1 trials conducted solely in adults outside an agreed paediatric investigation plan.,Dead end; no EU results record retrievable.,yes
RL-02,ClinicalTrials.gov (seliciclib; roscovitine; RA),No record. ISRCTN is the sole registry for TRAFIC.,Rules out a second registry as a source.,yes
RL-02,"UKRI Gateway to Research, MRC grant MR/L005123/1","Project 'MICA: Targeting the RA synovial fibroblast via cyclin dependent kinase inhibition - a phase IIa study'; status Closed. Reported outcomes contain one clinical-trial entry (year development completed 2017, supporting URL = the ISRCTN record) whose impact text cites only the phase 1b, SAP and protocol papers. No phase 2a efficacy output reported to the funder.",Strong indirect evidence that no phase 2a result was ever reported; funder record does not state whether part 2 opened.,partial
RL-02,HRA research summary (IRAS 151861; REC 14/NE/1075; sponsor Newcastle upon Tyne Hospitals NHS FT; contact J Isaacs),"Application summary only. Describes part 2 as planned (MTD given to 18 patients for 12 weeks, with imaging and synovial biopsies). No end-of-study or summary-of-results section.",Confirms sponsor and ethics identifiers for a records enquiry; carries no outcome information.,partial
RL-02,Europe PMC / PubMed output search for the trial and grant,"Only three TRAFIC primary outputs exist (phase 1b results, SAP, protocol). No phase 2a publication, preprint or indexed abstract identified.",Confirms the absence is not a retrieval gap in the literature.,yes
RL-02,Lancet Rheumatol 2021 phase 1b (PMID 33928262) — data-sharing statement,"'Due to commercial sensitivity, the data beyond those presented in the manuscript and appendix are not immediately available for sharing. Should this status change, requests will be considered by the research team, including Newcastle Clinical Trials Unit and the Chief Investigator.'",Names the exact enquiry route; confirms non-public status is deliberate.,no
