key,signal,phase3_evidence_tier,triage_outcome,triage_note,key_evidence
acpa_neg_prevention,MTX interception in ACPA-negative at-risk arthralgia,human RCT (post-hoc/stratified),LEAD,RL-01,"TREAT EARLIER 4-yr PMID 39303731; 5-yr ACPA-stratified PMID 42392130; comparator prevention trials ACPA+ only (PMID 38364839, 40884017, 42135532, 41576971); no ACPA-negative prevention trial in registry"
stromal_pirra,Stromal/fibroblast-directed therapy for the pauci-immune (fibroid) pathotype,mechanistic + pathotype cohorts,LEAD,RL-02,"PMID 42662104 (stromal basis of refractory arthritis); PMID 41440985 (R4RA/STRAP pathotype-response); registry: only FAPI-PET imaging + FAP biomarker studies (NCT04514614, NCT07393217), no interventional stromal-directed RA trial"
nirra,Non-immunosuppressive strategy for ultrasound-defined non-inflammatory refractory RA (NIRRA),observational cohorts,LEAD,RL-03,"PMID 38059326 (43% NIRRA of D2T with US, n=1,469); PMID 42370095 (44% NIRRA, replication); counter: PMID 41644272 FIRST registry switching benefit in low-inflammatory D2T"
anakinra_subgroup,IL-1 blockade in a stratified RA responder subgroup + an unreported modern trial,old RCTs + mechanistic,LEAD,RL-04,"PMID 40520203 (early efficacy, diminishing returns, stratification needed); NCT05363891 anti-IL-1alpha phase 2, n=243, completed 2024-10-31, has_results=False, no publication located"
food_intolerance,Rechallenge-defined food-intolerance subgroup,human RCT subgroup (1992),LEAD,RL-05,PMID 1575571 (double-blind elimination trial); PMID 1575572 (clinical/histological companion); no elimination-plus-blinded-rechallenge RA trial in registry since
acupuncture_sham,Whether sham acupuncture is an inert control in RA trials,methodological,LEAD,RL-06,PMID 42209373 (DIRECT sham-design guidelines); PMID 41102052 (RA-specific NMA emphasising placebo-control validity); no RA trial designed to test sham inertness
prosorba,Protein A immunoadsorption / apheresis,old human RCTs,RESOLVED,Newer synthesis is null,2026 systematic review/meta-analysis of RA apheresis RCTs found no significant benefit (PMID 42389975)
hsct,Autologous haematopoietic stem cell transplantation,case series,RESOLVED,Responses not durable,PMID 34904049 (2021 SR/MA); PMID 33775907 (relapse data)
il17,IL-17 blockade discordance in RA,human RCTs,RESOLVED,Discordance explained by the trial programme itself,secukinumab RA phase 2/3 programme records
shelved,"Abandoned agents (sirukumab, ocrelizumab)",human RCTs,RESOLVED,"Abandonment driven by identified safety signals, not neglect",mortality/serious-infection signals in the retrieved trial records
fasting_veg,Fasting followed by vegetarian/plant-based diet,old human RCT + meta-analyses,RESOLVED,Pooled evidence already characterises the effect; modern replication terminated,"PMID 19160281, 20430134, 34959772, 40907874; NCT03856190 TERMINATED (n=53)"
tvns,Non-invasive (transcutaneous) vagus nerve stimulation,early human trials,RETRIEVAL_GAP,Already sham-tested and being retested,"PMID 37390360 (null sham-controlled non-invasive RCT); NCT06779123 (n=128 double-blind, recruiting); NCT04539964 RESET-RA; PMID 42602670 (splenic neuromodulation sham-controlled)"
cd19_reset,"CD19-directed immune reset (CAR-T, T-cell engagers)",case series,RETRIEVAL_GAP,Among the most crowded experimental spaces in RA,"PMID 42595657 (blinatumomab case series, n=15); ~50 registry cell-therapy/engager trials incl. NCT06994143, NCT05869955, NCT07048197"
treg_il2,Low-dose IL-2 / Treg expansion,early human trials,RETRIEVAL_GAP,Controlled RA trials already exist,"PMID 35250032; PMID 36524114; PMID 37980696 (SR/MA, 31 trials)"
tgp,Total glucosides of paeony tolerability signal,human RCTs (China),RETRIEVAL_GAP,One of the most extensively trialled TCM-derived agents in RA,retrieved TGP RCT/meta-analysis set; registry NCT-listed TGP/TwHF trials
twhf,Tripterygium wilfordii constituent separation,human RCTs (China),RETRIEVAL_GAP,"Separation programmes exist (LLDT-8, tripchlorolide)",retrieved LLDT-8/tripchlorolide records; NCT04136262 (postmenopausal-only design)
sleep,Sleep/CBT-I as a disease-activity intervention,observational,RETRIEVAL_GAP,RA-specific CBT-I RCT and syntheses exist,retrieved RA CBT-I trial and systematic reviews
dapsone,Dapsone,old human RCTs,TOO_WEAK,"At best comparable to antimalarials, with toxicity and no structural data",old comparative RCT records
iguratimod,Iguratimod outside East Asia,large human RCTs (China/Japan),TOO_WEAK,Not an evidence gap: covered by EULAR 2025 SLR; residual question is regulatory/geographic,PMID 41997804 (EULAR 2025 SLR includes iguratimod); PMID 39056160 SMILE trial n=911; zero non-Asian trials in registry
helminth_fmt,Helminth therapy / faecal microbiota transplantation,in-vitro/animal + analogues,TOO_WEAK,Closest human analogue already null,"PMID 33926922 (FMT in psoriatic arthritis, null); NCT03944096 status unknown"
cannabis_ldn,Cannabinoids / low-dose naltrexone,small trials / none in RA,TOO_WEAK,RA-specific evidence essentially absent; no testable signal to follow,one 25-patient and one 58-patient cannabis trial; zero LDN-in-RA trials
never_bdmard_remission,Patients reaching remission without ever needing a bDMARD,observational,DUPLICATE,Subsumed by ACPA-status/phenotype stratification already covered,overlaps RL-01 and existing serostatus literature
