action_id,type,subject,detail,from_candidate,phase6,phase6_outcome,phase6_detail
A1,retrieval,PRECISIONS (NCT04300920),"Genotype-stratified phase 3 of N-acetylcysteine in TOLLIP rs3750920 TT patients; primary completion 2026-03-02, no results posted at 2026-09-03. Request or await results; this is the direct test of the record's only surviving subgroup hypothesis.",P10,True,blocked - result does not yet exist in any accessible form,"Rechecked ClinicalTrials.gov on 2026-09-03: NCT04300920 is COMPLETED with actual primary completion and completion dates of 2026-03-02, hasResults false, no results section. PubMed holds only the design and rationale paper (PMID 36514019). This is the single most consequential pending result in the record: it is the genotype-stratified prospective trial that PMID 26331942 asked for and it determines the fate of candidate P10. Smallest next step: recheck the registry after the 12-month reporting deadline (2027-03-02), and in the interim watch conference abstracts and contact the coordinating centre for a reporting timeline. Nothing about N-acetylcysteine in TOLLIP rs3750920 TT patients should be restated until then."
A2,retrieval,closed-access key results,Full text of PMID 26331942 (TOLLIP x N-acetylcysteine interaction) and of the Kangxian Huanji granule trial (PMID 37993378) could not be obtained. Both are marked verification-incomplete and neither can be promoted until read.,P10; P17,True,partially completed,"PMID 26331942: the PubMed Central deposit was retrieved but holds front matter and abstract only (closed access, no body). The record's quoted interaction P=0.001 and hazard ratios 0.14 (0.02-0.83) and 3.23 (0.79-13.16) are confirmed against the primary abstract; genotype subgroup sizes, prespecification and the replication cohort remain unverified (correction C37). PMID 37993378 (Kangxian Huanji Granule): no open-access or PubMed Central copy exists, but the full structured abstract was retrieved, establishing a randomised double-blind placebo-controlled design in 80 patients with co-primary endpoints and all secondary effect estimates (correction C36). Smallest next step for both: institutional or publisher access, or an author request; for the granule trial also the ChiCTR1900026289 registration record."
A3,retrieval,110 completed trials without retrievable results,97 of them past the reporting window. Largest single addition available to this record. Not evidence of promise.,P15,True,completed,"For each of the 110 completed trials with no retrievable results, PubMed was searched on the registry identifier. Only 7 returned any indexed publication, and none reported the missing primary clinical outcome: PRECISIONS (design paper), one pre-completion report, one methodological paper, and four safety, pharmacokinetic or preclinical papers. Two entities were added to the landscape from these (SRN001, PMID 42052104; TNIK inhibitor, PMID 38459338), both phase 1 only. Register ipf_phase6_missing_results_retrieval.csv; map row M5.15; correction C38. The deficit is genuine non-reporting, not a search failure."
A4,retrieval,Chinese-language databases,"CNKI, VIP, Wanfang and SinoMed were not searchable from this environment; the traditional-medicine screen therefore rests on English-indexed records only.",P19,True,partially completed - direct database access blocked,"ChiCTR and the WHO ICTRP portal were both requested and granted at the network level. ICTRP returns 403 from its own gateway for non-browser clients, and the ChiCTR search interface requires an encrypted, bot-protected browser session; neither was circumvented. CNKI, Wanfang, VIP and SinoMed remain inaccessible and are subscription-gated. What was executed instead: English-indexed systematic reviews that had searched those databases were used to quantify the missing literature - at least 63 randomised trials of Chinese medicine injections and several further pools totalling thousands of participants, with no injection product present in the landscape (correction C35, register ipf_phase6_chinese_language_coverage.csv, map row M5.14). This measures the size of the gap; it does not close it and assigns no verdict."
A5,retrieval,registry-results sweep of the full landscape,"NEW Phase 4 finding: the Phase 2 search used PubMed only, and the bexotegrast harm result (C23) existed solely as a ClinicalTrials.gov results posting. A results-section check was run in Phase 4 for the 22 candidate subjects only; the remaining landscape entities have not been checked for posted-but-unpublished results.",C23,True,completed,"Fetched the posted-results sections of all 116 IPF trials with results on ClinicalTrials.gov and matched them to the 281 landscape rows. 12 entities were reclassified (4 Failed, 8 Uncertain), 3 duplicate rows were merged, 4 entities were relabelled out-of-scope or indirect, 1 stopping reason was reclassified, and 9 entities were confirmed unchanged with a curation note. Two of the misses (gefapixant, tanzisertib) were published papers the Phase 2 search did not reach; the rest are unpublished registry postings. Corrections C24-C34; register ipf_phase6_registry_results_sweep.csv."
A6,analysis of existing data,co-trimoxazole adherence,"Adherence-stratified re-analysis of EME-TIPAC, acknowledging confounding by health status in open-label per-protocol comparisons.",P11,True,not executable within this record - individual participant data required,"EME-TIPAC (PMID 33289822) is a double-blind placebo-controlled trial in 342 patients across 39 UK centres; 283 of 342 (83%) completed, and the primary endpoint hazard ratio was 1.2 (95% CI 0.9-1.6). No adherence-stratified or per-protocol re-analysis is published, and none of the trial's 15 secondary outcomes addresses adherence. The independent CleanUP-IPF trial (PMID 33974018) is also null, with an adjusted HR of 1.15 (95% CI 0.68-1.95) in its co-trimoxazole stratum. An adherence-stratified analysis cannot be done from published summaries: it requires individual participant dosing records. Smallest next step: request the EME-TIPAC dataset from the trial team and run a prespecified analysis using instrumental-variable or inverse-probability-weighted per-protocol methods, since a naive per-protocol comparison in an open-adherence setting is confounded by health status. Priority is low: two independent randomised trials are null, so the analysis would be testing whether a null was caused by non-adherence, not testing a positive signal."
A7,analysis of existing data,corticosteroid harm magnitude,Quantify mortality association in existing cohorts with explicit handling of confounding by indication.,P20,True,completed - answered by existing synthesis; no new pooling warranted,"The question is answered as far as existing data allow, and the answer is that the magnitude is not established. A 2023 systematic review and meta-analysis (10 observational studies, 1639 patients with fibrotic ILD) found an uncertain effect of corticosteroids on mortality (RR 1.03, 95% CI 0.85-1.25) and, in IPF specifically, an uncertain effect on FVC decline (mean difference -3.80% predicted, 95% CI -8.94 to 1.34), both very low certainty (PMID 38160015). In acute exacerbation the cohorts disagree in an interpretable way: no association with in-hospital mortality but worse overall survival in one propensity-weighted cohort (PMID 31846126), no advantage for pulse over non-pulse dosing (PMID 38087838), and better survival with early dose tapering (PMID 36289512). Re-pooling the same 10 observational studies would reproduce an existing analysis, so no new meta-analysis was performed. Map row M3.18. Smallest next step: a target-trial emulation in a prospective registry with time-varying corticosteroid exposure and explicit handling of confounding by indication, which requires registry data access rather than published summaries."
A8,analysis of existing data,FVC-to-survival surrogacy,Trial-level or individual-participant meta-analysis; begin with a check of whether published meta-analyses already answer it.,P14,True,partially completed - the published literature answers a different question,"The action's own first step was executed. Two primary sources address FVC and mortality: pooled nintedanib trial data (n=2583) show that a faster rate of FVC decline and a lower current FVC each predict death over 52 weeks (HR 1.79, 95% CI 1.57-2.03 and HR 1.24, 95% CI 1.17-1.32 per 5-percentage-point decrease; PMID 37646126), and a prospective registry shows adjusted 1.8-, 2.3- and 2.7-fold increases in death or transplantation after declines of at least 2%, 5% and 10% predicted (PMID 40020995). Both are patient-level prognostic analyses. Neither addresses treatment-effect surrogacy - whether a drug's effect on FVC predicts its effect on survival - which is the question this record depends on. That analysis was not attempted here: it requires paired FVC and mortality treatment effects extracted and verified trial by trial from primary reports, and individual IPF trials are underpowered for mortality. Map row M5.16. Smallest next step: assemble the trial-level dataset from primary publications and registry postings, then seek pooled individual participant data from sponsors before any surrogacy claim is made or relied upon."
A9,measurement development,recovery and reversal endpoints,No endpoint in the record measures recovery of lost lung function or reversal of established fibrosis.,P21,True,"completed - endpoint set specified, none validated","Five candidate endpoints were specified for the dimensions the record cannot currently measure (reversal of established fibrosis, recovery of lost lung function, gas-transfer recovery, durable benefit after an exacerbation, and anchored functional recovery), each with a measurement approach, the existing validation evidence, feasibility, and the smallest validation step. Every one of the five smallest steps is a re-analysis of existing images or datasets, not a new trial. Register ipf_phase6_recovery_endpoints.csv. None of these endpoints is validated, and specifying them does not create evidence that recovery or reversal is achievable in IPF."
A10,retrieval,STRIVE-IPF (NCT03286556) analysis and publication,"The largest single positive randomised signal in the record - six-month survival 44% versus 7% after acute exacerbation - exists only as a registry posting with no statistical analysis, no baseline severity data and no results paper (only design paper PMID 38509495). Smallest next step: request from the sponsor and investigators the statistical analysis plan, the baseline lung-function and oxygen-requirement table, the CONSORT flow reconciling 82 enrolled with 33 versus 18 analysed, and the primary survival analysis.",P34,True,opened,Opened by action A5. Not executable inside this record - requires contact with the trial team or a sponsor results publication.
