nct,title,phase,enrollment,interventions,sponsor,start,completion,results_posted,results_retrievable,linked_pmids,retrieval_attempted,retrieval_date,comp_year,months_since_completion,reporting_status
NCT06241560,A Study in People With Idiopathic Pulmonary Fibrosis to Test Whether Pirfenidone Influences the Amount of BI 1015550 in ,PHASE2,20.0,BI 1015550; Pirfenidone,Boehringer Ingelheim,2026-03-05,2026-08-07,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,1.0,within 12-month reporting window
NCT07036029,NAL ER IPF Respiratory Function and Safety Study,PHASE1,9.0,NAL ER; Placebo,Trevi Therapeutics,2025-08-21,2026-06-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,2.0,within 12-month reporting window
NCT07225296,"A Single and Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics o",PHASE1,63.0,GNS-3545; GNS-3545 Placebo,Genosco Inc.,2025-11-12,2026-06-30,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,2.0,within 12-month reporting window
NCT06589219,Study to Assess CMR316 in Healthy Volunteers and Patients With Idiopathic Pulmonary Fibrosis,PHASE1,89.0,CMR316; Placebo,"Calibr, a division of Scripps Research",2024-08-19,2026-06-23,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,2.0,within 12-month reporting window
NCT07344558,"A Study to Evaluate Safety, Tolerability and Pharmacokinetics of MNKD-201 in Patients With Idiopathic Pulmonary Fibrosis",PHASE1,27.0,MNKD-201(Nintedanib DPI); Placebo,Mannkind Corporation,2025-12-22,2026-06-17,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,3.0,within 12-month reporting window
NCT06181370,"Phase I Study to Assess Safety, Tolerability, PK and PD of AGMB-447 in Healthy Participants and Participants With IPF",PHASE1,143.0,AGMB-447; placebo,Agomab Spain S.L.,2023-12-01,2026-04-29,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,4.0,within 12-month reporting window
NCT05195918,Study of Oral Epigallocatechin-3-gallate (EGCG) in IPF Patients,PHASE1,50.0,EGCG 300 mg + Nintedanib; EGCG 300 mg + Pirfenidone; Placebo 2 capsules + Nintedanib or Pirfenidone; EGCG 600 mg + Ninte,Hal Chapman,2023-08-24,2026-03-19,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,5.0,within 12-month reporting window
NCT06764862,Evaluating the Efficacy and Safety of of HSK44459 in People With Idiopathic Pulmonary Fibrosis,PHASE2,186.0,HSK44459 dose 1; HSK44459 dose 2; HSK44459 dose 3; Placebo,"Haisco Pharmaceutical Group Co., Ltd.",2025-01-17,2026-03-04,no,no results found,,ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,6.0,within 12-month reporting window
NCT04300920,Prospective Treatment Efficacy in IPF Using Genotype for Nac Selection (PRECISIONS) Trial,PHASE3,202.0,N-acetyl cysteine; Placebo,Fernando J Martinez,2020-12-17,2026-03-02,no,"no results found (only pre-completion linked record, e.g. design/protocol)",36514019(2022),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,6.0,within 12-month reporting window
NCT04708782,Study of Efficacy and Safety of Inhaled Treprostinil in Subjects With Idiopathic Pulmonary Fibrosis,PHASE3,598.0,Placebo; Inhaled Treprostinil; Treprostinil Ultrasonic Nebulizer,United Therapeutics,2021-06-01,2026-02-02,no,publication likely (post-completion linked record; primary outcome unverified),42149993(2026),ClinicalTrials.gov results section; PubMed secondary-source-ID [si] linkage,2026-09-02,2026,7.0,within 12-month reporting window
