dimension,best_documented_result,source,evidence_tier,what_remains_unachieved,caveat
Rate of FVC decline (continuous),"Largest 52-week between-group FVC difference in a phase 3 IPF trial: 130.1 mL (95% CI 82.2-178.1), inhaled treprostinil vs placebo, median change -43.3 vs -196.2 mL","TETON-1, NCT04708782, PMID 42149993 (2026)",RCT (phase 3),Every active arm of every positive trial still declines. Across positive phase 3 arms the active-arm change ranges from -43.3 to -138.6 mL/52 wk.,"Metrics are not interchangeable: TETON reports median change, INPULSIS annual rate, FIBRONEER absolute change; placebo-arm decline ranges from -136.4 to -239.9 mL, so mL differences cannot be ranked across trials (L3)."
Prevention of progression (categorical),47.9% relative reduction in the proportion of patients with >=10 point FVC%pred decline or death at 52 weeks (pirfenidone vs placebo),"ASCEND, NCT01366209, PMID 24836312 (2014)",RCT (phase 3),No trial has shown that progression can be prevented outright; the residual progression rate in treated arms remains substantial.,Categorical and continuous FVC endpoints are not interchangeable (E3).
Recovery of lost lung function,"Least-declining active arm reported: -21.5 mL over 26 weeks (deupirfenidone 825 mg, frequentist adjusted mean change)","ELEVATE-IPF, NCT05321420, PMID 42085224 (2026)","RCT (phase 2b, 26 weeks)",No completed IPF RCT arm has reported a sustained positive change in FVC. Recovery of lost function has never been demonstrated in humans.,A near-zero slope over 26 weeks is not recovery and is not durable evidence; the trial's own verdict class is Uncertain.
Reversal of established fibrosis,None. No human trial endpoint measures reversal (E15).,—,Gap (no human evidence),"Everything. There is no validated measure, no trial precedent and no regulatory pathway.",Preclinical reversal reports do not license any human claim (L2).
Acute exacerbation,"Pooled RR 0.63 (95% CI 0.53-0.76, I2=0%) for acute exacerbation with antifibrotic therapy","PMID 34217681 (2021), systematic review and meta-analysis","Meta-analysis, predominantly observational","No adequately powered randomised demonstration of acute-exacerbation reduction; TETON-1/-2 exacerbation endpoints were hierarchy-stopped, i.e. not formally tested (L3).","Incidence and prognosis both shifted with the 2016 definition change (E10), so pooled historical estimates mix definitions."
Symptoms - cough,Highest documented placebo-adjusted reduction in objective cough frequency: 60.2% relative reduction (31.5 to 11.9 coughs/h; P<.001) with nalbuphine ER 108 mg vs 16.9% with placebo at week 6; earlier crossover trial reported a 50.8 percentage-point placebo-adjusted change at day 21. Low-dose morphine gave 39.4% (95% CI -54.4 to -19.4; p=0.0005) at day 14.,"CORAL, NCT05964335, PMID 41569557 (2026); CANAL, NCT04030026, PMID 38320144 (2023); PACIFY COUGH, NCT04429516, PMID 38237620 (2024)","RCT (phase 2b dose-ranging, 6 weeks) + RCT (crossover) + RCT (small crossover)","Durability beyond 6 weeks, independent (non-sponsor) replication, the phase 3 result, and any effect on disease course. Opioid-class tolerability is the trade-off: nausea, fatigue, constipation and dizziness exceeded placebo in the crossover trial.","Symptom domain only; licenses no statement about fibrosis, lung function or progression (E9). Updated in C11."
Symptoms - dyspnoea / health-related quality of life,"No intervention has shown an HRQoL or dyspnoea difference exceeding the relevant MCID in a pivotal IPF trial in retrieved evidence. INSTAGE (nintedanib+sildenafil) SGRQ difference -1.28 vs -0.36, null.","INSTAGE, NCT02802345, PMID 30220235 (2018)",RCT (phase 3),"Any demonstrated improvement in how patients feel, as opposed to how fast a surrogate declines.","MCID thresholds themselves are contested (E6, E7)."
Functional capacity,"No positive pivotal result. STEP-IPF primary endpoint (>=20% 6MWD improvement) 10% vs 7%, not significant.","STEP-IPF, NCT00517933, PMID 20484178 (2010)",RCT (phase 2),A demonstrated improvement in exercise capacity from any disease-directed drug.,Pulmonary rehabilitation evidence is separate and is not disease-directed therapy.
Survival,"No randomised evidence of a survival benefit for any drug. Best available: pooled RR 0.55 (95% CI 0.45-0.66, I2=82%) for all-cause mortality with antifibrotics; registry HR 0.56 (95% CI 0.34-0.92); causal-inference HR 0.53 (95% CI 0.28-1.03, p=0.060).",PMID 34217681; AIPFR PMID 28232409; PMID 36997445,Meta-analysis of mostly observational data; registry; causal-inference cohort,A randomised mortality demonstration. Trial-level surrogacy of FVC for mortality was not established in any source retrieved by this Phase 1 search.,"All-cause-mortality trials in mild-to-moderate IPF were judged of prohibitive size, duration and cost (PMID 24476390), which is why this gap persists; the only RCT with mortality as primary endpoint was negative (INSPIRE HR 1.15, 95% CI 0.77-1.71)."
Durability of effect,Randomised comparison is limited to ~52 weeks for every currently approved or recently positive agent.,"INPULSIS-1/-2 (PMID 24836310), ASCEND (24836312), FIBRONEER-IPF (40387033), TETON-1/-2 (42149993, 41812190)",RCT durations,"Randomised evidence beyond one year; whether the slope difference is maintained, widens or attenuates.",Open-label extension and real-world cohorts are not randomised comparisons.
Definitive treatment,"Lung transplantation: 5-year survival 55.2% in the most recent era analysed, up from 51.9% (p=0.02); adjusted HR 0.83 (95% CI 0.76-0.91) for the later era","PMID 37625610 (2024), UNOS-era analysis",Observational registry,"Transplantation is limited by candidacy, organ supply and age; it replaces the lung rather than treating the disease. Bilateral vs single choice trades short-term for long-term risk (PMID 19949142).",No randomised comparison of transplantation against medical therapy exists or is feasible.
Cure / durable remission,None reported in any retrieved human evidence.,—,Gap,Everything.,—
