map_id,section,statement,subject,outcome_dimension,evidence_tier,evidence_tier_sublabel,sources,maps_to_unmet_need,caveat,provenance,phase4_status,phase6_status
M1.1,S1 What works,Nintedanib slows the rate of FVC decline over 52 weeks in IPF. No effect on survival was demonstrated.,nintedanib,rate of FVC decline (E1),Probable,"replicated phase 3 randomised evidence, endpoint-specific (tier inherited from ipf_phase2_landscape.csv; Phase 3 does not re-tier)",PMID 24836310,"UN3, UN7","Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M1.2,S1 What works,"Pirfenidone reduces the proportion of patients reaching a >=10 percentage-point FVC decline or death at 52 weeks, and slows FVC decline. Two of three phase 3 trials met their primary endpoint.",pirfenidone,"prevention of categorical progression (E3), rate of FVC decline (E1)",Probable,"replicated phase 3 randomised evidence, endpoint-specific; one of three phase 3 trials was null (tier inherited from Phase 2)",PMID 24836312,"UN3, UN7","Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M1.3,S1 What works,"Nerandomilast slows FVC decline at 52 weeks in IPF. Its mortality and acute-exacerbation endpoints were not statistically significant, and its 2025 approval is a PPF-wide label rather than IPF-specific.",nerandomilast,rate of FVC decline (E1),Probable,Probable (single large phase 3 randomised trial; not independently replicated) (tier inherited from Phase 2),PMID 40387033,"UN3, UN6","Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M1.4,S1 What works,Inhaled treprostinil slows FVC decline at 52 weeks in IPF.,inhaled treprostinil,rate of FVC decline (E1),Probable,Probable (phase 3 randomised; regulatory status for IPF not established in retrieved evidence) (tier inherited from Phase 2),PMID 41812190,UN3,"Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M1.5,S1 What works,"Nalbuphine ER reduces objective cough frequency in IPF-associated cough over 3-6 weeks, replicated across two randomised trials.",NAL ER (nalbuphine ER),symptoms - cough (E9),Probable,"Probable (two randomised trials, both <=6 weeks, both sponsor-run; phase 3 ongoing; opioid-class adverse effects exceeded placebo) (tier inherited from Phase 2)",PMID 41569557,UN5,"Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M1.6,S1 What works,"Pulmonary rehabilitation and exercise training improve exercise capacity and health-related quality of life in the short term. Durability beyond about six months is not established and no effect on lung-function decline, exacerbation or survival is claimed. A 52-week randomised trial on background antifibrotic therapy splits on its two functional endpoints (6MWD null, endurance time favouring training), so gains beyond 12 months remain untested.",pulmonary rehabilitation / exercise training,"functional capacity (E5), HRQoL (E6)",Probable,"Probable (multiple concordant small randomised trials, short follow-up; part of the evidence base is ILD-wide rather than IPF-exclusive) (tier inherited from Phase 2)",PMID 33164264; PMID 37012071,"UN4, UN12","Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),amended in Phase 4 (C12),
M1.7,S1 What works,Lung transplantation is the only intervention in this record with evidence of extended survival in IPF. The evidence is observational registry data and a randomised comparison is not feasible.,lung transplantation,survival (E11),Probable,Probable (observational registry evidence only; eligibility restricts it to a minority of patients) (tier inherited from Phase 2),PMID 37625610,UN3,"Graded on the named outcome dimension only. Slowing decline is not preservation, recovery, reversal or cure.",ipf_phase2_landscape.csv (verdict_class=Works),,
M2.1,S2 What does not work,Interferon gamma-1b did not improve progression-free survival in IPF in an adequately sized randomised trial; a later survival trial was also null.,interferon gamma-1b,progression-free survival (time to disease progression or death),Probable,randomised null result (tier inherited from Phase 2),PMID 14711911,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.2,S2 What does not work,Bosentan was null on its own primary endpoints in two phase 3 randomised trials in IPF.,bosentan,hospital-free survival and overall survival,Probable,replicated phase 3 randomised null result (tier inherited from Phase 2),PMID 21474646,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.3,S2 What does not work,Co-trimoxazole did not improve FVC in an adequately sized randomised trial in IPF.,co-trimoxazole,forced vital capacity (FVC),Probable,randomised null result (tier inherited from Phase 2),PMID 23143842; PMID 33289822,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,key result updated in Phase 4 (C13),
M2.4,S2 What does not work,Adding co-trimoxazole or doxycycline to usual care did not improve time to non-elective respiratory hospitalisation or death (CleanUP-IPF); this registry label is the same evidence as the two agent rows.,co-trimoxazole or doxycycline,hospitalisation or death (composite; E10/E11),Established,"Established (one pragmatic randomised trial, primary endpoint null) (tier inherited from Phase 2)",PMID 33974018,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.5,S2 What does not work,N-acetylcysteine monotherapy was null on FVC change in an adequately sized randomised arm (PANTHER-IPF); post hoc genotype subgroup analyses remain an open question rather than a positive result.,n-acetylcysteine,"Change in forced vital capacity, percentage of predicted vital capacity, percentage of predicted carbon monoxide diffusi",Probable,randomised null result (tier inherited from Phase 2),PMID 24836309,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.6,S2 What does not work,Simtuzumab did not improve progression-free survival in IPF in an adequately sized randomised trial.,simtuzumab,progression-free survival (time to all-cause death or categorical decrease from baseline in FVC % predicted),Probable,randomised null result (tier inherited from Phase 2),PMID 27939076,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.7,S2 What does not work,SAR156597 (IL-4/IL-13 bispecific) was null on FVC in an adequately sized randomised trial in IPF.,SAR156597,absolute change from baseline in forced vital capacity (FVC) % predicted at 52 weeks,Probable,randomised null result (tier inherited from Phase 2),PMID 30337444,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
M2.8,S2 What does not work,Zinpentraxin alfa (recombinant pentraxin-2) was null on 52-week FVC change in phase 3 after a positive phase 2 result.,zinpentraxin alfa,absolute change from baseline to Week 52 in FVC,Probable,randomised null result (tier inherited from Phase 2),PMID 38354066,"UN3, UN8",Adequately-tested-and-negative on the endpoint stated; this is not a statement about other dimensions or other populations.,ipf_phase2_landscape.csv (verdict_class=Failed); ipf_phase2_negative_results_register.csv,,
