cand_id,from_statement,subject,shape,outcome,screen_failed,reason,screen_definitions,promoted_to_lead
P1,M6.1,azithromycin,(d) abandoned rather than refuted,rejected,S1; S4,"The abandonment and the null belong to different trials (C22). The chronic-cough question has a randomised crossover answer (NCT02173145, PMID 34015241) and the terminated trial was a combination-therapy study (NCT01432080, n=12). The ongoing 1000-patient trial NCT05842681 addresses acute exacerbation management, a different question, and is recorded as such rather than as an answer to this candidate.","retrieval artefact - the question already had an answer the earlier record missed | no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P2,M6.1,losartan,(d) abandoned rather than refuted,rejected,S4,"Human IPF evidence is one open-label single-arm study (n=20) and one randomised trial terminated at n=12 with registry-posted results. Neither can establish a signal in a disease with highly variable individual FVC trajectories, and no ongoing IPF programme targets the angiotensin pathway.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P3,M6.1,cromolyn sodium (RVT-1601),(d) abandoned rather than refuted,rejected,S2,"Not abandoned before a result: a phase 2b dose-ranging trial was null on cough (C15), superseding the earlier positive phase 2a.","superseded - a later or larger result, or the programme's own posted result, replaces the signal",no
P4,M6.1,continuous positive airway pressure,(d) abandoned rather than refuted,rejected,S4,"IPF evidence is two small studies (n=12 completed, n=7 terminated) with no randomised comparison against an IPF outcome. Where obstructive sleep apnoea coexists, CPAP is indicated on its own grounds; that is comorbidity management, not an IPF-progression hypothesis.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P5,M6.2,GLPG1205,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"A phase 2 trial (n=68, results posted) was null on FVC. An underpowered null contains no positive signal, and the record holds no prior - mechanistic, subgroup or otherwise - that would justify retesting GPR84 antagonism at size. No ongoing programme.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P6,M6.2,etanercept,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"One phase 2 trial (n=88, 2003-2007), null. No signal to retest and no ongoing programme; TNF blockade in IPF has not been revisited in over 15 years.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P7,M6.2,imatinib,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"One phase 2/3 trial (n=120), null on time to disease progression. No ongoing IPF programme.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P8,M6.2,inhaled carbon monoxide,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"One phase 2 trial (n=58, results posted 2017, PMID 29100885), null. No signal to retest and no ongoing programme.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P9,M6.2,macitentan,(a) unreplicated null that size or phase cannot make decisive,rejected,S4,"One phase 2 trial (n=178), null on FVC. The class question is not open: bosentan was null in two trials and ambrisentan was harmful in ARTEMIS-IPF, so endothelin-receptor antagonism has a class-level answer in IPF.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P10,M6.3,n-acetylcysteine in a TOLLIP- or telomere-defined subgroup,(c) subgroup that may respond differently,held at verification - not promoted,S5,"The motivating result is a post hoc TOLLIP rs3750920 x N-acetylcysteine interaction in PANTHER-IPF (PMID 26331942; provenance corrected in C19). Its full text is closed access and could not be obtained, so under the Phase 4 brief it is verification-incomplete. Separately, the genotype-stratified phase 3 trial PRECISIONS (NCT04300920) has completed with no results posted, so the question is already being answered and the smallest next step is retrieval, not a new hypothesis. Carried to Phase 6 as a retrieval action.",verification incomplete - the key result could not be checked against primary full text,no
P11,M6.4,co-trimoxazole adherence-dependent effect,(b) analysis of existing trial data,rejected as a lead; analysis action retained,S2; S6,"The intention-to-treat null now rests on EME-TIPAC (n=342, C13), which supersedes the smaller trial. Whether adherence modifies the effect is a re-analysis of existing trial data, not an intervention hypothesis; carried to Phase 6 as an analysis action with the caveat that per-protocol comparisons in an open-label context are confounded by health status.","superseded - a later or larger result, or the programme's own posted result, replaces the signal | not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P12,M6.5,sildenafil in right-heart dysfunction,(c) subgroup that may respond differently,rejected,S2; S1,"The subgroup hypothesis has been tested (C14): a prespecified INSTAGE subgroup analysis found no treatment-by-subgroup heterogeneity on SGRQ or FVC, and a phase 2b trial prospectively enrolled the enriched at-risk-of-pulmonary-hypertension population and was null on its primary endpoint. The trialists' residual call for further subgroup research is preserved in the map as an open statement, but no positive subgroup result supports it.","superseded - a later or larger result, or the programme's own posted result, replaces the signal | retrieval artefact - the question already had an answer the earlier record missed",no
P13,M6.11,BMS-986020 / LPA1 pathway,(d) abandoned rather than refuted (toxicity),rejected,S3,"The pathway question is under test: admilparant (BMS-986278) has a positive phase 2 (n=403) and an active phase 3 (NCT06003426, n=1255) with a second phase 3 planned (NCT07441408). Reviving the abandoned molecule adds nothing that the successor trial will not answer; its own stopping reason was drug-related hepatobiliary toxicity (C18).",already being answered - a registered ongoing trial addresses the same question,no
P14,M6.6,FVC change as a surrogate for survival,(e) record-level analysis opportunity,rejected as a lead; analysis action retained,S6,"A surrogacy question about an endpoint, not a therapeutic hypothesis. It is answerable by trial-level or individual-participant meta-analysis of existing trials. Whether published meta-analyses already answer it was not assessed in Phase 4; a prior literature check is part of the Phase 6 action.","not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P15,M6.7,110 completed trials with unretrievable results,(e) record-level retrieval opportunity,rejected as a lead; retrieval action retained,S6,"Missing results are a gap in the record, not evidence of therapeutic promise - the Phase 4 brief forbids converting one into the other. Retrieval remains the largest single addition available to this record and is carried to Phase 6.","not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P16,M6.8,Jinbei oral liquid,(f) traditional-medicine signal,rejected,S4,"Full text verified (C20): no primary endpoint was predefined, the single significant endpoint (total lung capacity) sits among many tested with no multiplicity control, and no accepted IPF efficacy endpoint was met.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P17,M6.8,Kangxian Huanji granule,(f) traditional-medicine signal,held at verification - not promoted,S5,"The abstract reports treatment failure at 4 weeks with RR 0.22 (95% CI 0.051-0.965, P=0.023) and a non-significant 16-week mortality difference, but the full text could not be obtained through any available route. Under the Phase 4 brief this is verification-incomplete and cannot be promoted. Obtaining the full text is carried to Phase 6.",verification incomplete - the key result could not be checked against primary full text,no
P18,M6.8,Baduanjin exercise,(f) traditional-medicine signal,rejected,S4,"Full text verified (C21): n=28, 8 weeks, unblinded, allocation by opened envelopes, authors describe it as exploratory, and the control group received no training at all. Against a no-exercise comparator the result cannot be separated from the generic effect of exercise training, which the record already grades at Probable.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
P19,M6.8,Chinese-language database gap,(e) record-level retrieval opportunity,rejected as a lead; retrieval action retained,S6,"A search-coverage limitation (CNKI, VIP, Wanfang, SinoMed were not searchable from this environment), not a therapeutic hypothesis. Carried to Phase 6.","not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P20,M6.10,corticosteroid harm magnitude,(e) record-level analysis opportunity,rejected as a lead; analysis action retained,S6,"A harm-quantification question answerable in existing cohorts, with confounding by indication as the central methodological problem. Not an intervention hypothesis.","not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P21,M6.12,recovery and reversal endpoints,(e) measurement gap,rejected as a lead; measurement action retained,S6,No intervention in the record targets recovery of lost lung function and no trial endpoint measures it. This is an endpoint-development question; naming it as a therapeutic lead would invert the brief's rule that a gap is not a hypothesis.,"not a therapeutic lead - a record, analysis or measurement action rather than an intervention hypothesis",no
P22,M6.9,pulmonary rehabilitation durability,(g) open question about an intervention that works,rejected,S1,"Answered to 52 weeks by a randomised trial the Phase 2 search missed (C12), which is null on 6MWD and favours training on endurance time. The residual untested horizon is beyond 12 months; it remains an open statement in the map, not a lead.",retrieval artefact - the question already had an answer the earlier record missed,no
P23,M6.11,omeprazole,(a) small positive randomised signal,rejected,S4,"Full-text verification weakened rather than supported the signal (C17): feasibility was the primary objective, no formal sample-size calculation was performed, the adjusted cough-frequency interval includes no effect, and FEV1 and FVC differences in the same trial favour placebo, with more lower respiratory tract infections on omeprazole.","no testable signal - no controlled human signal, a non-clinical primary endpoint, or an effect not separable from an already-graded intervention",no
