intervention,negative_result
Acupuncture versus sham,no significant difference on any outcome (Cochrane; CAM review)
Vitamin E,no benefit on sensitive or swollen joints
Balneotherapy mudpacks versus placebo,no pain benefit
Low-dose naltrexone,"no pain benefit overall (d = −0.11, P=0.31), with increased adverse events"
Elemental diets,"no difference in pain, function or stiffness"
Food-allergen elimination,negative on average (positive only in a rechallenge-defined subgroup)
Smoking-cessation interventions in RA,no evidence of benefit
IV doxycycline (n=23),1 responder versus 0 on placebo
Blood-flow-restricted low-intensity resistance training,SMD −0.01
Acupuncture-related therapies for morning stiffness,none beat DMARDs alone
Iguratimod monotherapy,not superior to methotrexate (ACR20 OR 1.04)
TwHF monotherapy,not superior to methotrexate (ACR20 RR 1.06)
p38 MAPK inhibition,signal did not sustain into a usable drug
Total lymphoid irradiation,net harm at 10 years
Mediterranean diet,may make little or no difference (low certainty)
Omega-3,"no significant effect on DAS28, ESR or CRP despite the tender-joint effect"
Probiotics,no pooled disease-activity outcome reported
