code,unmet_need,dimension,maps_to_endpoints,evidence_basis,status
UN1,No intervention has been shown to recover lost lung function in humans; the best active arm still declines.,Recovery of lost function,"E1,E2,E15","Least-declining active arm reported: -21.5 mL/26 wk (ELEVATE-IPF, PMID 42085224). All phase 3 positive arms decline -43.3 to -138.6 mL/52 wk.",Unaddressed; no endpoint measures it (E15)
UN2,"Reversal of established fibrosis has never been demonstrated, measured or defined as a human endpoint.",Reversal,"E13,E15",No human trial endpoint for reversal in retrieved evidence; quantitative HRCT has no accepted MCID and is not a registration endpoint.,Gap; preclinical reports do not license human claims (L2)
UN3,No randomised evidence that any drug prolongs survival in IPF.,Survival,E11,"Only RCT with mortality as primary endpoint was negative (INSPIRE, HR 1.15, 95% CI 0.77-1.71). Survival signals are observational: pooled RR 0.55 (0.45-0.66, I2=82%), registry HR 0.56 (0.34-0.92), causal-inference HR 0.53 (0.28-1.03).","Structurally unaddressed: mortality trials in mild-to-moderate IPF judged of prohibitive size, duration and cost (PMID 24476390)"
UN4,No intervention has shown a dyspnoea or quality-of-life benefit exceeding the relevant MCID in a pivotal IPF trial.,Symptoms / HRQoL,"E6,E7,E8","INSTAGE SGRQ -1.28 vs -0.36 (null, PMID 30220235); no positive HRQoL pivotal result retrieved.",Unaddressed; complicated by contested MCID thresholds
UN5,"Cough has one small, short randomised positive result and no durable treatment.",Symptoms (cough),E9,"PACIFY COUGH: -39.4% awake cough frequency at day 14, n=44 (PMID 38237620); omeprazole pilot -39.1% with CI crossing null (PMID 30610155).","Partially addressed at 14 days; durability, generalisability and MCID all unknown"
UN6,No adequately powered randomised evidence for preventing or treating acute exacerbations; the one randomised treatment attempt signalled harm.,Acute exacerbation,E10,Pooled RR 0.63 (0.53-0.76) is predominantly observational (PMID 34217681); TETON-1/-2 exacerbation endpoints hierarchy-stopped; EXAFIP cyclophosphamide 3-month mortality 45% vs 31% (PMID 34506761).,Unaddressed; in-hospital mortality after an exacerbation remains ~29.5% (PMID 35614114)
UN7,Durability of antifibrotic effect beyond 52 weeks has never been randomised.,Durability,"E1,E14",Every pivotal trial for an approved or recently positive agent is <=52 weeks.,Unaddressed; extensions and real-world cohorts are not randomised comparisons
UN8,"The field's own endpoint methodology is unresolved: incompatible FVC metrics, direction-dependent and disputed MCIDs, and no retrieved trial-level surrogacy validation.",Measurement,"E1,E2,E3,E6,E7",Four distinct FVC metrics across pivotal trials with ~3-fold variation in placebo-arm decline; K-BILD MID estimates differ 2-3 fold (PMID 23867809 vs 32316976); MCIDs re-estimated substantially higher by anchor-only methods (PMID 34671666); two literature searches for trial-level FVC-mortality surrogacy returned no validation study.,Unaddressed; this is a precondition for interpreting every other dimension
UN9,The randomised evidence base is concentrated in mild-to-moderate physiologic impairment; severe disease is under-represented.,Population coverage,"E2,E5,E8",Mortality-rate analysis and MCID derivation both specify mild-to-moderate impairment (PMID 24476390; PMID 42548365); PACIFY COUGH mean FVC 82 %pred.,Unaddressed; effect estimates and MCIDs may not transfer across severity strata
UN10,Results of a large fraction of completed IPF trials cannot be found.,Retrievability,all,"Of 239 completed interventional IPF studies, 90 have posted results, 39 have a post-completion linked publication (primary outcome unverified) and 110 have neither; 97 of those (4,182 participants) completed more than 12 months ago. 21 of the 97 were phase 2 or 3.",Unaddressed; recorded in ipf_phase1_retrievability_register.csv (L5)
UN11,No validated predictive biomarker identifies who benefits from which treatment; the one prospective genotype-selected trial has not reported.,Treatment-response heterogeneity,"E1,E2","TOLLIP rs3750920 x NAC interaction is retrospective (PMID 26331942); PRECISIONS (NCT04300920, n=202) completed 2026-03-02 with no results posted and only a design paper indexed (PMID 36514019).",Open; PRECISIONS is within its 12-month reporting window as of 2026-09-02 (see corrections log)
UN12,Non-pharmacological and supportive care evidence is largely ILD-wide rather than IPF-specific.,Supportive care,"E5,E6",Cochrane pulmonary rehabilitation review covers interstitial lung disease broadly (PMID 34559419); no IPF-specific randomised oxygen trial was identified by this search.,Open; under L1 such evidence enters only as labelled indirect evidence
