id,subject,conflict_type,description,current_status,resolution_rule_applied,verdict_recorded,sources
X1,co-trimoxazole,within-intervention evidence disagreement,Shulgina 2013 (PMID 23143842) reported no FVC effect but a per-protocol all-cause mortality reduction; EME-TIPAC (PMID 33165623 family) was null on its primary. Logged in the conflicts register.,"resolved by supersession (Phase 4, C13)","A larger adequately powered trial reporting the same comparison supersedes the smaller one; the residual adherence question is recorded as an open question, not as a conflict.","Failed - no benefit on the primary endpoint (EME-TIPAC, n=342)",33289822; 33974018; 23684308
X2,n-acetylcysteine,within-intervention evidence disagreement,"Post hoc pharmacogenomic and telomere-length subgroup analyses of the same trial data report differential effects (PMID 30566847 and the TOLLIP hypothesis behind NCT04300920); logged as an unresolved subgroup question (UN11), not as a positive result.",unresolved,none; disagreement preserved,Failed,see key_result_pmid 24836309 and conflict_note
X3,pamrevlumab,within-intervention evidence disagreement,PRAISE phase 2 positive (PMID 31575509) vs ZEPHYRUS-1 phase 3 null (PMID 38762797); logged in the conflicts register as resolved-by-supersession.,resolved by supersession,brief section 2 evidence hierarchy: a larger randomised trial on the same endpoint supersedes a smaller one,Failed,see key_result_pmid 38762797 and conflict_note
X4,sildenafil,within-intervention evidence disagreement,1 positive vs 1 null randomised IPF-only sources,"resolved (Phase 4, C14)","Three randomised trials are null in the overall IPF population, and the right-heart-dysfunction subgroup hypothesis showed no treatment-by-subgroup heterogeneity when tested prospectively in a prespecified analysis; the remaining disagreement is between overall nulls and exploratory subgroup analyses, which does not meet the definition of a within-intervention conflict.",Failed in the overall population; subgroup hypothesis tested and not supported,32822614; 31365829; 20460437; 29761552
X5,FVC as a surrogate for mortality,endpoint-level uncertainty carried from Phase 1,Every 'Works' verdict in this landscape rests on FVC or a categorical FVC-based composite. Phase 1 found no retrieved source establishing trial-level surrogacy of FVC change for mortality; nor was surrogacy refuted. Antifibrotic survival evidence is pooled observational (RR 0.55) rather than randomised.,unresolved,brief section 2 prohibits grading a lung-function result on the survival dimension; no drug is graded as improving survival,"applies to pirfenidone, nintedanib, nerandomilast, inhaled treprostinil",Phase 1 ceiling table; PMID 34217681; PMID 28232409
X6,corticosteroid monotherapy,evidence-class disagreement,"Pooled largely observational data report excess mortality with corticosteroids, and the randomised harm evidence belongs to the prednisone+azathioprine+NAC combination, not to steroid monotherapy, which has never been randomised in IPF. Steroids nonetheless remain in use for acute exacerbation, where no treatment has randomised support.",unresolved,tier capped at Uncertain because the pooled sources are predominantly observational,Harm outweighs benefit (tier Uncertain),PMID 40277510; PMID 22607134
X7,N-acetylcysteine subgroup hypothesis,post hoc subgroup vs overall null,"The PANTHER NAC arm was null overall (PMID 24836309), while post hoc telomere-length and TOLLIP genotype analyses of the same trial data report differential effects. A prospective genotype-stratified trial (NCT04300920) was launched on that basis.",unresolved,post hoc subgroup findings do not lift the overall verdict; recorded as an open question (UN11) | PHASE4 CORRECTION (C19): the register cited PMID 30566847 (telomere length and immunosuppression) as the source of the N-acetylcysteine subgroup hypothesis. The primary source is PMID 26331942 (TOLLIP rs3750920 x N-acetylcysteine interaction in PANTHER-IPF). Both are retained as distinct subgroup hypotheses.,"Failed (monotherapy, overall population)",PMID 24836309; PMID 30566847; NCT04300920; 26331942; 36514019
X8,traditional Chinese medicine formulas,database-coverage-limited evidence,"Three randomised IPF-only TCM trials reach screen tier T1 and nine more reach T2, with author-reported benefit in most. None was independently replicated outside its originating setting, risk of bias could only be judged from abstracts, and CNKI/VIP/Wanfang/SinoMed were not searched, so both the count and the direction may be biased in unknown magnitude.",unresolved,brief section 4.3 caps every such row at Uncertain,Uncertain for all TCM rows,ipf_phase2_traditional_medicine_screen.csv
X9,autoantibody reduction (plasma exchange + rituximab + IVIG),"setting-dependent disagreement, unblinded positive versus blinded null","STRIVE-IPF (NCT03286556), open-label randomised, posts six-month survival of 44% (SE 9, n=33) on autoantibody reductive therapy versus 7% (SE 6, n=18) on treatment as usual in acute exacerbations of IPF, with no statistical analysis and no results publication. In stable IPF, a triple-masked randomised trial of rituximab monotherapy (NCT01969409, n=58) met only its autoantibody-titre primary endpoint and showed no benefit on FVC, survival or transplant-free survival, with 12 versus 6 hospital admissions and 9 of 30 versus 5 of 28 serious adverse events.",unresolved,"none; the two results address different clinical settings (acute exacerbation versus stable disease) and different regimens (triple therapy versus rituximab alone), so neither supersedes the other. Both are recorded; the survival signal is not treated as evidence of benefit while its analysis and publication are missing.",Uncertain (both rows),NCT03286556; NCT01969409; 38509495; 26083430; 34813613
X10,sodium pyruvate nasal spray (N115),registry-only positive result with internal implausibility,"NCT06037408 (n=50, single site, sponsor Cellular Sciences) posts a 73.2% reduction in daily coughing episodes versus 16.1% on saline (difference -57.13, 95% CI -63.99 to -50.27, p=0.0001) after 21 days, alongside a 27.9% increase in the FEV1/FVC ratio versus 2.73% (p<0.0001) and zero adverse events in both arms. No publication exists, the cough measurement method is not described, and no outcomes-assessor masking is stated.",unresolved - held at verification,"none; the effect sizes and the zero-adverse-event count are not consistent with the known behaviour of IPF over three weeks, and no source beyond the registry posting exists to check them against. Recorded as an unverified claim, not as evidence of benefit.",Uncertain,NCT06037408
X11,HZN-825 (fipaxalparant) secondary endpoints,within-trial endpoint discordance,"In NCT05032066 the 300 mg twice-daily arm shows a worse composite progression-free survival than placebo (hazard ratio 2.52, 95% CI 1.22 to 5.61, p=0.0438) while simultaneously showing fewer participants with a >=10% FVC decline (odds ratio 0.469, 95% CI 0.236 to 0.934, p=0.0706). The primary FVC endpoint is null in both dose arms.",unresolved but not verdict-determining,"the prespecified primary endpoint governs the verdict; the discordant secondaries are recorded rather than interpreted, and neither is treated as a harm finding or a benefit finding on its own.",Failed,NCT05032066
X12,GB0139 (TD139) GALACTIC-1,unanalysable posted result,"The primary endpoint of GALACTIC-1 (NCT03832946, n=172) is posted as arm-level annual FVC decline with non-overlapping confidence intervals - GB0139 3 mg -316.60 mL/year (95% CI -394.86 to -238.35) versus placebo -127.41 mL/year (95% CI -221.12 to -33.71) - together with more respiratory hospitalisations (17 of 102 versus 5 of 70) and worse SGRQ change, but no between-arm statistical test is posted and the trial is unpublished. Attrition was high in both arms (completion 55 of 102 and 38 of 70).",unresolved - held at verification,"graded Failed on the direction of the prespecified primary endpoint, which is unfavourable; the apparent harm direction is not upgraded to a harm verdict because no formal comparison, adjustment for attrition, or peer-reviewed report is available. No statistical test was computed here from the posted summaries.",Failed,NCT03832946; 33214209
