id,dimension,measure,metric_variants,threshold_or_mcid,threshold_source,prognostic_anchor,licenses,does_not_license,known_problems,evidence_level
E1,Rate of lung-function decline,"FVC, absolute change in mL",annual rate (mL/yr); change to week 52; slope,No MCID defined in mL; MCID is defined in % (see E2/E3),—,"Indirect, via % thresholds",A between-group difference in mean decline over the trial period,"'preserves lung function', 'stabilises', survival benefit, symptom benefit","Used as the primary endpoint of most pivotal trials; not anchored to any patient-perceived change; placebo-arm decline differs ~3-fold across trials, so cross-trial comparison of mL differences is not valid",Regulatory-accepted primary endpoint; no retrieved trial-level surrogate validation
E2,Rate of lung-function decline,"FVC, absolute change in % predicted",change in %pred; annualised %pred,MCID 2-6% (point estimate range),"PMID 21940789 (du Bois 2011, n=1156 trial dataset)",24-week FVC decline of 5-10% -> >2-fold higher 1-year mortality (P<0.001); 'marginal' decline HR 2.31 (95% CI 1.19-4.50),A clinically important difference only if the between-group difference reaches 2-6 %pred,Individual-patient benefit; reversal; survival,MCID derived largely from death/hospitalisation and distribution-based anchors; single value may not apply across severity strata or follow-up durations (PMID 34671666),Anchor- and distribution-based MCID studies in trial cohorts
E3,Rate of lung-function decline (categorical),FVC relative decline >=10% (or >=5%) from baseline,relative vs absolute definition; >=10% vs >=5%; with/without death as competing event,>=10% relative decline = standard progression threshold,PMID 22426899 (Zappala/Richeldi analysis),Relative change maximises detection of >=10% decline without sacrificing prognostic accuracy; absolute change more predictive at the >=5% level; all thresholds of FVC and DLCO decline associated with death or transplant (PMID 40020995),Proportion of patients crossing a prognostically meaningful threshold,Equivalence with the continuous FVC endpoint; pooling with mL differences,Relative and absolute definitions are not interchangeable; choice changes both event rate and effect estimate,Cohort and trial-dataset analyses
E4,Rate of gas-transfer decline,DLCO % predicted,absolute vs relative decline; >=10% and >=15% thresholds,No IPF-specific MCID retrieved; >=10% decline used as prognostic threshold,PMID 30665416; PMID 40020995,DLCO decline >=10% predicted mortality in a real-world pirfenidone cohort; for DLCO (unlike FVC) risk increase was generally greater for relative than absolute thresholds (PMID 40020995),Change in gas transfer,Substitution for FVC endpoints; symptom or survival claims,"Higher measurement variability than FVC; frequently a secondary or exploratory endpoint, so nulls are often underpowered rather than informative",Observational cohorts; trial secondary endpoints
E5,Functional capacity,"6-minute walk distance (6MWD), metres",change at 24/52 weeks; distance vs desaturation,MCID 24-45 m,PMID 21131468 (du Bois 2011),24-week decline >50 m -> HR 4.27 (95% CI 2.57-7.10) for 1-year death,Change in exercise capacity,Lung-function preservation; survival; symptom relief,Anchor-only re-estimation gives considerably higher MCID values than the original estimates (PMID 34671666); ceiling/floor effects by severity,Trial-cohort validation studies
E6,Health-related quality of life,SGRQ / SGRQ-I total score,SGRQ vs IPF-specific SGRQ-I; improvement vs deterioration,SGRQ-I MCID 3.9 (improvement) / 4.9 (deterioration),PMID 32316976,Not a validated prognostic anchor for mortality in retrieved evidence,Patient-reported health-status change on the measured domain,Disease-modification; progression; survival,"MCID differs by direction of change, so a symmetric threshold misclassifies deterioration; not interchangeable with K-BILD",Psychometric studies in IPF cohorts
E7,Health-related quality of life,K-BILD total score,MID estimates differ between studies,MID 8 units (original); 4.7 improvement / 2.7 deterioration (later estimate),PMID 23867809; PMID 32316976,Not established in retrieved evidence,Disease-specific health-status change,Comparison against SGRQ thresholds; disease modification,Published MID estimates differ by a factor of ~2-3 depending on method and direction; a trial can be 'positive' or 'null' depending on which is adopted,Psychometric studies; unresolved disagreement preserved
E8,Symptoms (dyspnoea),UCSD Shortness of Breath Questionnaire,worsening vs improvement,"MCID for worsening 4-6, point estimate 6 (mild/moderate impairment)",PMID 42548365 (2025),"Anchored to FVC (6), 6MWD (4.3) and SGRQ-A (5.8) cut points",Patient-reported dyspnoea change in mild-to-moderate disease,Extrapolation to severe disease; disease modification,Derived in mild/moderate impairment only; MCID for improvement not established in retrieved evidence,Anchor-based psychometric study
E9,Symptoms (cough),Objective 24-h/awake cough frequency; cough VAS,objective digital cough monitoring vs VAS vs Leicester Cough Questionnaire,No IPF-specific MCID retrieved for objective cough frequency or VAS,—,None; cough is not a prognostic endpoint,"Symptom effect only, over the measured interval (14 days in PACIFY COUGH)","Any statement about fibrosis, lung function, or progression",Short measurement windows; entry requires VAS >=30 mm so results do not generalise to unselected patients,Small randomised crossover trial (PMID 38237620)
E10,Acute exacerbation (event),Acute exacerbation of IPF,2007 definition vs 2016 revised international working-group definition; 'acute respiratory deterioration' superset,"Definitional, not threshold-based",PMID 27299520 (Collard 2016 revised definition),In-hospital mortality after AE 29.5% under the revised definition; revised definition raised measured incidence ~20% and lowered in-hospital mortality ~10% relative to the old one (PMID 35614114),"Change in the rate of a defined acute event, under the definition used",Comparison across trials using different definitions; substitution for mortality,"Definition change alters both numerator and prognosis, so historical and modern rates are not comparable; incidence estimates vary widely (3-year 18.6%; PMID 39256473)",Consensus definition + systematic review of cohorts
E11,Survival,All-cause mortality,all-cause vs respiratory; death or transplant composite,Not applicable,—,The outcome itself,Survival claims,Nothing weaker may substitute for it,"In mild-to-moderate IPF the event rate is low enough that the size, duration and cost of an all-cause-mortality trial are 'substantial and likely prohibitive' (PMID 24476390); consequently no pivotal IPF trial is powered for mortality",Pooled trial-dataset analysis
E12,Health-care utilisation,Respiratory-related hospitalisation,time to first vs rate; all-cause vs respiratory,Not applicable,—,Not separately validated in retrieved evidence,Utilisation change,Survival or lung-function claims,Definitions vary; observational estimates can move in the opposite direction to mortality estimates in the same cohort (PMID 36997445),Trial secondary endpoints; observational cohorts
E13,Imaging (structural fibrosis),Quantitative HRCT fibrosis extent,automated quantitative CT scores; visual semi-quantitative reads,No accepted MCID,—,Automated quantitative CT change predicts outcome longitudinally (PMID 31196945),Structural change of the measured feature,Reversal of fibrosis; functional or survival benefit,"Not a registration endpoint; methods are not standardised across centres, so cross-study pooling is not possible",Observational imaging cohorts
E14,Composite progression,Progression-free survival / time to disease progression,"components differ by trial (FVC threshold, death, hospitalisation, 6MWD)",Definitional,—,Depends entirely on components,Only the composite as defined in that trial,Comparison across trials; interpretation as survival benefit,Component definitions are not standardised; a composite dominated by an FVC threshold inherits every problem of E3 while reading as a hard outcome,Trial-defined endpoints
E15,Recovery of lost function / reversal of fibrosis,No established human endpoint,—,None exists,—,—,Nothing; no IPF trial endpoint currently measures recovery of lost lung function,"Any claim of reversal from FVC-slope, imaging or preclinical data","This is the central endpoint gap: the outcome patients most want has no validated measure, no trial precedent and no regulatory pathway; sustained positive FVC slope has not been demonstrated in any completed IPF RCT arm",Gap (no retrieved human evidence)
