id,question,current_evidence,evidence_status,smallest_useful_next_step
Q1,Is any part of established fibrosis reversible in humans?,No intervention has shown recovery of lost FVC in any completed IPF RCT; best active arms still decline (fig 1b). Reversal has only been reported preclinically.,Hypothesis / no human evidence,Re-analysis of individual-participant data from completed phase 3 trials for any subgroup with sustained positive FVC slope; quantitative HRCT re-reads of existing trial imaging.
Q2,"Does antifibrotic therapy prolong survival, and by how much?",No individual RCT was powered for mortality (ASCEND all-cause death P=0.10; a mortality trial would need ~508 events for 90% power to detect 25% reduction). Meta-analysis reports pooled RR 0.55 (0.45-0.66) but pools heterogeneous trials; real-world cohorts are confounded by treatment selection.,Conflicting,Individual-participant-data meta-analysis of all phase 3 antifibrotic trials with consistent mortality adjudication; target-trial emulation in national registries.
Q3,Does the TOLLIP rs3750920 genotype identify NAC responders?,"A retrospective pharmacogenomic interaction (PANTHER) motivated the prospective PRECISIONS trial (NCT04300920, n=202), which is registered as completed with no results posted and no primary publication indexed as of 2026-09-02.",Insufficient - results not retrievable,"Retrieval of PRECISIONS results from the sponsor/consortium; if unavailable, formal results-request and registry non-compliance documentation."
Q4,Is immunosuppression harmful in all IPF patients or only in a telomere-defined subgroup?,Triple therapy caused excess death and hospitalisation in PANTHER; observational work reports interaction with short telomere length; no prospective test exists.,Suggestive (observational) / untested prospectively,Genotype- and telomere-stratified re-analysis of PANTHER and cohort data; no new exposure trial without a strong safety rationale.
Q5,Do the two approved antifibrotics plus a new-mechanism agent add up?,"Nerandomilast was tested on a 77.7% background-antifibrotic population and treprostinil trials allowed background therapy, but no trial has randomised the addition of a second agent versus switching or versus maximal single therapy.",Insufficient,Registry-based comparative-effectiveness analysis of add-on versus switch in routine care; then a pragmatic randomised add-on strategy trial.
Q6,Why did positive phase 2 signals fail in phase 3 so consistently?,"Pentraxin-2 (positive phase 2 FVC and 6MWD) failed phase 3 futility; pamrevlumab, ziritaxestat and others repeated the pattern. Placebo-arm decline varied roughly 3-fold across trials (112 to 330 mL), which alone can create or erase an apparent effect.","Established pattern, unexplained",Cross-trial analysis of placebo-arm decline versus enrolment criteria and calendar year; quantification of how much phase 2 to phase 3 attrition is explained by control-arm drift and endpoint choice.
Q7,Is there any evidence-based treatment for acute exacerbation of IPF?,Cyclophosphamide showed a non-significant excess of 3-month mortality (45% vs 31%); high-dose corticosteroids are standard of care but supported only by observational data with inconsistent and sometimes adverse signals in IPF.,Insufficient / possible harm,Systematic retrieval of all AE-IPF interventional data including unpublished; target-trial emulation of steroid dose strategies in hospital datasets.
Q8,Can cough and dyspnoea be treated without accelerating harm?,Low-dose morphine reduced objective cough frequency (21.6 to 12.8/h vs 21.5 to 20.6/h) with adverse events 40% vs 14%; omeprazole cough effect CI crossed the null; the two approved antifibrotics and treprostinil all increase cough or gastrointestinal burden.,"Suggestive, small trials only",Larger replication of the opioid cough result with harm surveillance; pooled patient-reported-outcome analysis across existing phase 3 datasets.
Q9,Does the large Chinese-language TCM trial base contain any testable signal?,"Evidence mapping identified 323 clinical studies including 295 RCTs and 28 meta-analyses, but the RCTs were generally low quality with small samples, short courses, non-standardised syndrome definitions and undifferentiated primary/secondary outcomes.",Insufficient (volume without quality),"Screen the 295 RCTs for any with objective FVC/DLCO endpoints, adequate duration and low risk of bias; assess whether any single formula has replicated results worth independent testing."
Q10,Is FVC change at 52 weeks an adequate basis for the whole field?,"Every approved and near-approved agent rests on a millilitre-scale FVC difference; trials used at least four different FVC metrics (annual rate, absolute change, median change, categorical decline), and secondary endpoints (exacerbation, mortality, symptoms) were repeatedly non-significant or hierarchy-stopped.",Established methodological problem,Validation study of the FVC-to-outcome mapping using pooled trial data; explicit minimal clinically important difference work anchored to survival and patient-reported outcomes.
