lead,lead_claim,check,outcome,finding,verdict,primary_source
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,Subgroup prespecified?,partly confirmed,"ACPA-stratified analyses in the published 2-yr SAP; risk-split within ACPA-negative formed before 4-yr analysis, not in that SAP (authors' own statement)",REFRAME,"PMID 39303731 (4-yr TREAT EARLIER, full text)"
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,Treatment x ACPA interaction test?,contradicted / not found,None reported in the 4-yr or MRI-responder papers; only a time x treatment term,REFRAME,PMID 39303731; PMID 41558803 (RMD Open MRI responder)
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,Multiplicity handling?,contradicted / not found,No adjustment reported for any subgroup comparison,REFRAME,PMID 39303731
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,Increased-risk definition,weakened,ACPA-negative increased risk = 25-70% predicted risk; 65/66 (99%) had >2 MRI sites vs 0/116 at low risk - operationally an imaging-burden subgroup,REFRAME,PMID 39303731 baseline table + risk-model footnote
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,ACPA as effect modifier?,weakened,MRI inflammatory-burden benefit seen in BOTH ACPA strata at increased risk; absent only in low-risk ACPA-negative,REFRAME,PMID 41558803
RL-01,Methotrexate interception in ACPA-negative at-risk arthralgia,5-yr result independent of 4-yr?,contradicted / not found,Same 66 participants: HR 0.27 (0.07-0.99) at 4 yr -> 0.24 (0.07-0.87) at 5 yr; 13 events,REFRAME,PMID 39303731 vs PMID 42392130 (5-yr abstract)
RL-02,No trial has selected patients on a stromal molecular signature,Stromal drugs tested in RA?,confirmed,"Seliciclib phase 1b (n=15, open-label, no molecular selection) and TCK-276 phase 1b RCT (n=32, 7-day dosing, eligibility by disease activity only)",CONFIRM,"PMID 33928262 (TRAFIC, full text); PMID 39002122 / NCT05437419 (TCK-276)"
RL-02,No trial has selected patients on a stromal molecular signature,Any signature-selected trial?,confirmed,Registry sweep: no interventional RA trial selects on a stromal/fibroblast molecular signature (STRAP/R4RA/TRAFIC are ISRCTN-registered - partial coverage),CONFIRM,ClinicalTrials.gov sweep 2026-09-01; ISRCTN36667085
RL-02,No trial has selected patients on a stromal molecular signature,Seliciclib efficacy stage reported?,confirmed,Phase 2a single-arm stage was planned in the design paper; no report located,CONFIRM,PMID 33928262 + TRAFIC design paper
RL-02,No trial has selected patients on a stromal molecular signature,Signature validated across cohorts?,partly confirmed,"STRAP tocilizumab/rituximab models validated in R4RA (AUC 0.713, 0.786); R4RA multidrug-resistance model internal cross-validation only (AUC 0.69)",CONFIRM,PMID 40603860 (STRAP deep profiling); PMID 35589854 (R4RA biomarker)
RL-02,No trial has selected patients on a stromal molecular signature,Pauci-immune = general resistance?,weakened,"STRAP: pauci-immune patients failed rituximab (none reached ACR50) but responded to etanercept/tocilizumab like other pathotypes - drug-specific, not global",CONFIRM,"PMID 38251532 (STRAP primary, full text)"
RL-03,Untested non-immunosuppressive strategy in imaging-negative refractory RA,Population estimate holds?,confirmed,"20/45 (44%) of D2T-RA had no power-Doppler synovitis; single-centre retrospective, hands/wrists scanned by one clinician",DOWNGRADE,"PMID 42370095 (D2T ultrasound cohort, full text)"
RL-03,Untested non-immunosuppressive strategy in imaging-negative refractory RA,Imaging classifier limits,weakened,46% of 'controlled' refractory patients had subclinical synovitis; fibromyalgia 48% / 40% / 17.5% across the three groups,DOWNGRADE,PMID 42370095
RL-03,Untested non-immunosuppressive strategy in imaging-negative refractory RA,Escalation strategy trials,weakened,"ARCTIC: ultrasound tight control not justified (early, DMARD-naive RA)",DOWNGRADE,"PMID 27530741 (ARCTIC, full text)"
RL-03,Untested non-immunosuppressive strategy in imaging-negative refractory RA,De-escalation evidence,weakened,PREDICTRA: baseline MRI inflammation NOT associated with flare after adalimumab taper or withdrawal in sustained remission,DOWNGRADE,PMID 32404343 (PREDICTRA) / NCT02198651
RL-03,Untested non-immunosuppressive strategy in imaging-negative refractory RA,No prospective trial in this population?,contradicted / not found,"FALSIFIED - NCT05717179 (n=158, Italian Society for Rheumatology): CDAI>10 with <=2 swollen joints, ultrasound-guided vs clinical decisions, completes 2029",DOWNGRADE,NCT05717179 (ClinicalTrials.gov)
