pmid,year,journal,title,design,population,outcome_e_code_mapped,outcome_ineligible,registration_stated,n_reported,duration_reported,tier,tier_reason,abstract_retrievable,risk_of_bias_tool,risk_of_bias_judgement,found_by,pubtypes,tier_manually_corrected,reported_direction_by_authors,intervention_named,fulltext_verified,fulltext_verification_note
39849152,2025,Sci Rep,Jinbei oral liquid for idiopathic pulmonary fibrosis: a randomized placebo-controlled trial.,randomised_human,ipf_only,True,False,True,103.0,26 weeks,T1,"randomised, IPF-only, eligible outcome, registration stated",True,Cochrane RoB 2,"some concerns - assessed from abstract only, full text not retrieved",tcm_herbal_trials|tcm_any|natural_product_trials_broad,"Journal Article|Randomized Controlled Trial|Multicenter Study|Research Support, Non-U.S. Gov't",False,authors report mixed significant and non-significant outcomes,Jinbei oral liquid (12-herb TCM compound),yes,"PHASE4 (C20) full text read. The paper states 'No primary endpoint was predefined in the clinical trial.' 68 of 72 randomised patients analysed, 9 centres, 26 weeks. The only endpoint reaching significance was total lung capacity (+136 mL versus -523 mL, difference 659 mL, 95% CI -1215 to -104 mL, p=0.02, sign convention as printed); FVC % predicted change was -1.48% versus -3.58%, not significant, and FVC, DLco % predicted, 6MWD, SGRQ and PaO2 were not significant. Multiplicity uncontrolled."
41184899,2025,Biopsychosoc Med,"The effect of Baduanjin exercises on the functional capacity, respiratory function, and quality of life of patients with idiopathic pulmonary fibrosis: a randomized contr",randomised_human,ipf_only,True,False,True,28.0,8 weeks,T1,"randomised (randomly assigned), IPF-only, 6MWD/respiratory function/QoL outcomes, registered NCT06372353",True,not applicable,,mindbody,Journal Article,True,authors report at least one statistically significant benefit,"Baduanjin exercise (online, supervised)",yes,"PHASE4 (C21) full text read. n=28, 8 weeks, allocation by opened envelopes, participants not blinded, control group received no training at all, powered only for the 6MWT and described by the authors as exploratory. Because the comparator was no exercise rather than conventional exercise training, the trial cannot separate a Baduanjin-specific effect from the generic effect of exercise training, which the record already grades at Probable. Also corrects the Phase 2 design field, which read 'narrative_review_or_mechanistic' for a randomised trial."
37993378,2023,J Integr Med,Efficacy and safety of Kangxian Huanji Granule as adjunctive treatment in acute exacerbation of idiopathic pulmonary fibrosis: An exploratory randomized controlled trial.,randomised_human,ipf_only,True,False,True,80.0,4 weeks,T1,"randomised, IPF-only, eligible outcome, registration stated",True,Cochrane RoB 2,"some concerns - assessed from abstract only, full text not retrieved",tcm_herbal_trials,"Randomized Controlled Trial|Journal Article|Research Support, Non-U.S. Gov't",False,authors report mixed significant and non-significant outcomes,"Kangxian Huanji Granule (adjunctive, AE-IPF)",no,"PHASE4: full text not obtainable (Unpaywall, Semantic Scholar, PMC and Crossref TDM all returned no accessible full text). Abstract-level result only: treatment failure at 4 weeks RR 0.22 (95% CI 0.051-0.965, P=0.023); all-cause mortality at 16 weeks not significant. Verification incomplete - not promotable under the Phase 4 brief."
41088620,2025,Medicine (Baltimore),Efficacy and safety of external treatment of traditional Chinese medicine combined with conventional treatment for idiopathic pulmonary fibrosis: A systematic review and ,meta_analysis/SR,ipf_only,True,False,False,981.0,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|tcm_any,Journal Article|Systematic Review|Meta-Analysis,False,authors report at least one statistically significant benefit,TCM external treatments (pooled),,
39805768,2024,Zhongguo Zhong Yao Za Zhi,[Evidence mapping of clinical research on traditional Chinese medicine in treatment of idiopathic pulmonary fibrosis].,meta_analysis/SR,ipf_only,True,False,False,323.0,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|tcm_any,Journal Article|Meta-Analysis|English Abstract,False,direction not stated in the retrievable record,TCM clinical research (evidence map),,
37235494,2023,Altern Ther Health Med,Chinese Herbal Medicine for Idiopathic Pulmonary Fibrosis: An Overview of Systematic Review.,meta_analysis/SR,ipf_only,True,False,False,,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_any,Journal Article|Review,False,direction not stated in the retrievable record,Chinese herbal medicine (overview of systematic reviews),,
35881610,2022,PLoS One,Efficacy of traditional Chinese medicine injections for treating idiopathic pulmonary fibrosis: A systematic review and network meta-analysis.,meta_analysis/SR,ipf_only,True,False,False,63.0,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|tcm_any,Journal Article|Systematic Review|Network Meta-Analysis,False,direction not stated in the retrievable record,TCM injections (pooled),,
36451506,2022,Medicine (Baltimore),Comparison of 4 kinds of traditional Chinese medicine injections to assist in improving clinical indicators of patients with idiopathic pulmonary fibrosis: A systematic r,meta_analysis/SR,ipf_only,True,False,True,1363.0,,T2,pooled synthesis; tier follows population and outcome eligibility of the pooled set,True,not applicable,,tcm_herbal_trials|tcm_any,Systematic Review|Journal Article|Network Meta-Analysis,False,direction not stated in the retrievable record,"TCM injections, 4 preparations (network comparison)",,
34353031,2021,Ann Palliat Med,New pulmonary rehabilitation exercise for pulmonary fibrosis to improve the pulmonary function and quality of life of patients with idiopathic pulmonary fibrosis: a rando,randomised_human,ipf_only,True,False,False,101.0,,T2,"randomised, IPF-only, eligible outcome; registration or allocation concealment not documented in the retrievable record",True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,mindbody,Journal Article|Randomized Controlled Trial,False,authors report at least one statistically significant benefit,TCM-derived pulmonary rehabilitation exercise,,
33164264,2021,Respirology,Pulmonary Daoyin as a traditional Chinese medicine rehabilitation programme for patients with IPF: A randomized controlled trial.,randomised_human,mixed_or_other,True,False,False,,2 months,T2,"randomised, IPF-only, 6MWD and SGRQ-I primary outcomes, but no trial-registration identifier in the retrievable record",True,Cochrane RoB 2,high or some concerns - allocation concealment and blinding not described in the retrievable record,tcm_herbal_trials,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",True,authors report mixed significant and non-significant outcomes,Pulmonary Daoyin (TCM rehabilitation programme),,
