nct,title,phase,enroll,status,why,completion,n_primary,primary_titles,n_analyses,iv_match,record_state,sweep_outcome
NCT05185089,Efficacy and Safety Study of Orvepitant for Chronic Cough in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,80,COMPLETED,,2024-06-05,1,Mean Change From Baseline in Weekly Average of the Daily Idiopathic Pulmonary Fibrosis Cou,30,orvepitant,orvepitant [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Failed (C26)
NCT02579603,"Safety, Tolerability and PK of Nintedanib in Combination With Pirfenidone in IPF",PHASE4,105,COMPLETED,,2017-01-03,1,Percentage of Patients With On-treatment Gastrointestinal (GI) AEs (SOC GI Disorders) From,0,pirfenidone; nintedanib,"pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT03727802,"Safety, Tolerability, and Pharmacokinetic Study of TRK-250 for Patients With Idiopathic Pulmonary Fibrosis",PHASE1,34,COMPLETED,,2022-04-01,1,Incidence and Severity of Adverse Events,0,TRK-250,"TRK-250 [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=37738329.0 posted=1",already graded on published evidence - no change
NCT00105183,EZ-2053 in the Prophylaxis of Acute Pulmonary Allograft Rejection,PHASE3,223,COMPLETED,,2010-01,1,"Number of Participants With the Event Death, Graft Loss, Acute Rejection and/or Loss to Fo",0,EZ-2053,EZ-2053 [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=2,out of IPF treatment scope - lung transplant management (C34)
NCT02550873,A Trial to Evaluate the Efficacy of PRM-151 in Subjects With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,117,COMPLETED,,2017-05-02,1,Change From Baseline in Forced Vital Capacity (FVC) [% Predicted],19,zinpentraxin alfa,,already graded on published evidence - no change
NCT01371305,STX-100 in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,41,COMPLETED,,2017-03-31,1,Number of Participants With Adverse Events (AEs),0,BG00011,BG00011 [Harm outweighs benefit/randomised evidence of excess harm in IPF] pmid=35771569.0 posted=2,already graded on published evidence - no change
NCT03142191,A Study to Evaluate the Efficacy and Safety of CC-90001 in Subjects With Idiopathic Pulmonary Fibrosis,PHASE2,138,TERMINATED,Business objectives have changed.,2021-12-24,1,Percentage Point Difference in % Predicted Forced Vital Capacity (FVC).,0,tanzisertib (CC-90001); tanzisertib (CC-930),tanzisertib (CC-90001) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,material correction - graded Uncertain (C28); publication located
NCT05041426,Letermovir for CMV Prevention After Lung Transplantation,PHASE2,15,COMPLETED,,2025-03-03,2,Occurrence of CMV Infection or Disease During Prophylaxis || Occurrence of CMV Infection or Disease in the 3 Months Following Completion of Prophylaxis,0,lung transplantation; valganciclovir; letermovir,"lung transplantation [Works/the only intervention with evidence of extended survival in IPF; graded on the survival dimension from registry data only] pmid=37625610.0 posted=0 || valganciclovir [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=33740394.0 posted=2 || letermovir [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1",out of IPF treatment scope - lung transplant management (C34)
NCT02036970,Bardoxolone Methyl Evaluation in Patients With Pulmonary Hypertension (PH) - LARIAT,PHASE2,166,COMPLETED,,2018-01-19,1,Change From Baseline Though Week 16 in 6-Minute Walk Distance (6MWD) for Bardoxolone Methy,2,bardoxolone methyl,bardoxolone methyl [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1,indirect - pulmonary hypertension population (C34)
NCT04429516,Morphine Sulfate/Placebo for the Treatment of PulmonAry Fibrosis Cough,PHASE3,44,COMPLETED,,2023-03-21,1,The Percent Change in Daytime Cough Frequency (Coughs Per Hour),0,morphine,"interferon alpha (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=1 || jaktinib (oral) [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=0 || morphine [Uncertain/positive 14-day crossover trial (n=44), cough dimension; durability untested] pmid=38237620.0 posted=1",already graded on published evidence - no change
NCT01136174,Safety and PK Study of BIBF 1120 in Japanese Patients With IPF,PHASE2,50,COMPLETED,,2011-03,1,Drug-related Adverse Events,0,nintedanib,,already graded on published evidence - no change
NCT02788474,Effect of Nintedanib on Biomarkers of Extracellular Matrix Turnover in Patients With Idiopathic Pulmonary Fibrosis and Limited Forced Vital Capacity I,PHASE4,347,COMPLETED,,2017-08-04,1,The Rate of Change (Slope) in Blood C-reactive Protein Degraded by Matrix Metalloproteinas,7,nintedanib,"nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT04071769,Genentech Xenon MRI Idiopathic Pulmonary Fibrosis,PHASE2,34,COMPLETED,,2024-10-17,1,Efficiency of Gas Exchange as Measured by the Red Blood Cell (RBC):Barrier Ratio Following,7,,,"no landscape entity matched - observational, imaging or monitoring study"
NCT00650091,"Evaluating the Effectiveness of Prednisone, Azathioprine, and N-acetylcysteine in Patients With IPF",PHASE3,264,COMPLETED,,2013-10,1,Overall Change in Forced Vital Capacity,0,n-acetylcysteine; azathioprine,"n-acetylcysteine [Failed/monotherapy null in an adequately sized randomised arm (PANTHER-IPF NAC arm, n=264)] pmid=24836309.0 posted=2 || azathioprine [Poorly studied/no IPF-only monotherapy human evidence; appears only in combination or pooled sources] pmid=30566847.0 posted=0",already graded on published evidence - no change
NCT02502097,A Study of Gefapixant (AF-219/MK-7264) in Participants With Idiopathic Pulmonary Fibrosis (IPF) With Persistent Cough (MK-7264-016),PHASE2,51,COMPLETED,,2016-07-01,4,Mixed Model of Repeated Measures (MMRM) Change From Baseline in Awake Objective Cough Freq || Awake Objective Cough Frequency (Periods 1 & 2 Combined) || Change From Baseline of Awake Objective Cough Frequency (Periods 1 & 2 Combined) || Percent Change From Baseline of Awake Objective Cough Frequency (Periods 1 & 2 Combined),24,gefapixant,gefapixant [Poorly studied/no IPF-specific human outcome evidence retrieved] pmid=nan posted=2,material correction - graded Failed (C26); publication located
NCT02989168,Study to Evaluate the Effect of GBT440 Administered to Subjects With IPF on Supplemental Oxygen at Rest,PHASE2,14,TERMINATED,The study was terminated due to lack of clinically meaningful benefit,2017-10-23,1,Change in Oxygen Saturation at End of Treatment Period Compared to Baseline,0,voxelotor; oxygen,oxygen [Uncertain/acute improvement in exercise endurance and desaturation in small crossover trials; no evidence on progression or survival] pmid=32367694.0 posted=1,stopping reason classified as lack of efficacy; no outcome data posted (C34)
NCT01890265,Evaluate the Safety and Efficacy of FG-3019 (Pamrevlumab) in Participants With Idiopathic Pulmonary Fibrosis (IPF),PHASE2,160,COMPLETED,,2017-11-16,1,Change From Baseline in FVC (Percent of Predicted FVC Value [% Predicted]) to Week 48,4,pamrevlumab; pirfenidone; nintedanib,"pamrevlumab [Failed/phase 2 positive, adequately sized phase 3 null on the same endpoint; the phase 3 supersedes] pmid=38762797.0 posted=3 || pirfenidone [Works/two of three phase 3 trials positive on their own primary endpoint; graded on the FVC/progression dimensions only] pmid=24836312.0 posted=14 || nintedanib [Works/phase 3 randomised evidence, graded on its own endpoint only] pmid=24836310.0 posted=24",already graded on published evidence - no change
NCT02871401,A Pilot Trial of Herpesvirus Treatment in Idiopathic Pulmonary Fibrosis (IPF),PHASE1,31,COMPLETED,,2020-01-31,1,Proportion of Subjects Who Discontinue Study Drug Due to Adverse Events,0,valganciclovir,"valganciclovir [Uncertain/randomised human data on a non-clinical primary endpoint (safety, pharmacokinetic, deposition, feasibility or mechanistic); no clinical outcome signal] pmid=33740394.0 posted=2",already graded on published evidence - no change
NCT04030026,A Study of Nalbuphine (Extended Release) ER in Idiopathic Pulmonary Fibrosis (IPF) for Treatment of Cough,PHASE2,42,COMPLETED,,2022-05-27,9,Number of Participants Who Experienced at Least One Treatment Emergent Adverse Events (TEA || Number of Participants With Clinically Significant Abnormalities in Laboratory Parameters || Number of Participants With Clinically Significant Changes in Vital Sign Parameters || Number of Participants With Clinically Significant Changes in Physical Examination Paramet || Number of Participants With Clinically Significant Abnormalities in 12-Lead Electrocardiog || Change From Baseline in Forced Vital Capacity (FVC) at Day 21 || Subjective Opiate Withdrawal (SOWS) Total Raw Score || Daytime Cough Frequency at Baseline || Percent Change From Baseline in Daytime Cough Frequency at Day 22,16,NAL ER,"NAL ER [Works/cough frequency only (E9); replicated in two randomised trials of <=6 weeks; no lung-function, exacerbation or survival claim] pmid=41569557.0 posted=4",already graded on published evidence - no change
